,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
12948,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",12948,5,9,False
186,na,person age,person age,False,False,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",186,5,9,False
7675,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",7675,5,9,False
12851,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",12851,5,9,False
12672,person cause of death,na,na,True,False,False,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",12672,5,9,False
8801,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",8801,5,9,False
9109,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",9109,5,9,False
6626,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",6626,5,9,False
6986,organization founded by,na,na,True,False,False,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",6986,5,9,False
10809,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",10809,5,9,False
8743,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",8743,5,9,False
7015,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",7015,5,9,False
6534,organization member of,na,na,True,False,False,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",6534,5,9,False
15099,na,organization country,organization country of headquarters,False,False,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",15099,5,9,False
1784,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",1784,5,9,False
2675,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",2675,5,9,False
590,na,person countries,person countries of residence,False,False,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",590,5,9,False
9253,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",9253,5,9,False
13398,organization member of,na,na,True,False,False,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",13398,5,9,False
7279,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",7279,5,9,False
8839,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",8839,5,9,False
5483,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",5483,5,9,False
7806,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",7806,5,9,False
6757,organization member of,na,na,True,False,False,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",6757,5,9,False
6976,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",6976,5,9,False
2308,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",2308,5,9,False
14581,person employee of,person title,person title,False,False,False,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",14581,5,9,False
6442,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",6442,5,9,False
3088,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",3088,5,9,False
4642,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",4642,5,9,False
615,na,person countries,person countries of residence,False,False,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",615,5,9,False
2493,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",2493,5,9,False
15021,na,person title,person title,False,False,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",15021,5,9,False
2373,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",2373,5,9,False
6504,organization member of,na,na,True,False,False,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",6504,5,9,False
5920,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",5920,5,9,False
4948,organization member of,na,na,True,False,False,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",4948,5,9,False
8614,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",8614,5,9,False
10584,person spouse,na,na,True,False,False,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",10584,5,9,False
8336,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",8336,5,9,False
14030,organization member of,organization members,organization members,False,False,False,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",14030,5,9,False
10737,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",10737,5,9,False
9336,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",9336,5,9,False
3225,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",3225,5,9,False
13668,organization member of,organization top,organization top members or employees,False,False,False,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",13668,5,9,False
7373,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",7373,5,9,False
8344,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",8344,5,9,False
5399,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",5399,5,9,False
3807,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",3807,5,9,False
5217,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",5217,5,9,False
3238,organization member of,na,na,True,False,False,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",3238,5,9,False
7320,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",7320,5,9,False
5139,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",5139,5,9,False
11338,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",11338,5,9,False
14674,na,person title,person title,False,False,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",14674,5,9,False
3240,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",3240,5,9,False
10796,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",10796,5,9,False
14976,person spouse,person title,person title,False,False,False,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",14976,5,9,False
4031,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",4031,5,9,False
10686,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",10686,5,9,False
11772,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",11772,5,9,False
11681,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",11681,5,9,False
1566,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",1566,5,9,False
6451,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",6451,5,9,False
9680,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",9680,5,9,False
12777,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",12777,5,9,False
13784,na,organization top,organization top members or employees,False,False,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",13784,5,9,False
8549,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",8549,5,9,False
5158,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",5158,5,9,False
3576,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",3576,5,9,False
6245,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",6245,5,9,False
13567,na,person country of death,person country of death,False,False,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",13567,5,9,False
9364,person spouse,na,na,True,False,False,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",9364,5,9,False
14463,person religion,person origin,person origin,False,False,False,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",14463,5,9,False
11035,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",11035,5,9,False
9781,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",9781,5,9,False
11419,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",11419,5,9,False
3844,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",3844,5,9,False
12743,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",12743,5,9,False
5486,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",5486,5,9,False
7377,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",7377,5,9,False
6028,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",6028,5,9,False
12521,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",12521,5,9,False
13356,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",13356,5,9,False
9574,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",9574,5,9,False
1862,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",1862,5,9,False
13069,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",13069,5,9,False
11983,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",11983,5,9,False
14940,na,person title,person title,False,False,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",14940,5,9,False
14170,na,organization alternate,organization alternate names,False,False,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",14170,5,9,False
13410,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",13410,5,9,False
1658,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",1658,5,9,False
468,na,person charges,person charges,False,False,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",468,5,9,False
3318,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",3318,5,9,False
13125,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",13125,5,9,False
9488,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",9488,5,9,False
14303,na,person religion,person religion,False,False,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",14303,5,9,False
13420,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",13420,5,9,False
7999,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",7999,5,9,False
15469,na,organization founded by,organization founded by,False,False,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",15469,5,9,False
7621,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",7621,5,9,False
6529,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",6529,5,9,False
10852,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",10852,5,9,False
4668,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",4668,5,9,False
9912,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",9912,5,9,False
7419,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",7419,5,9,False
5485,organization member of,na,na,True,False,False,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",5485,5,9,False
10532,person charges,na,na,True,False,False,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",10532,5,9,False
5625,organization member of,na,na,True,False,False,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",5625,5,9,False
8245,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",8245,5,9,False
8043,organization member of,na,na,True,False,False,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",8043,5,9,False
10691,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",10691,5,9,False
234,na,person age,person age,False,False,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",234,5,9,False
13055,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",13055,5,9,False
5116,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",5116,5,9,False
2238,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",2238,5,9,False
9131,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",9131,5,9,False
3050,na,na,na,True,True,True,{'na': 5},"[25363, 66732, 48447, 41732, 43472]",3050,5,9,False
