,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
152,numeric other,numeric other,43,False,True,False,{35: 1},[68],152,1,7,False
94,abbreviation abbreviation,description,24,False,False,False,{35: 1},[68],94,1,7,False
337,location other,human individual,29,False,False,True,{35: 1},[68],337,1,7,False
78,location other,numeric distance,40,False,False,True,{35: 1},[68],78,1,7,False
323,location other,entity currency,6,False,False,True,{35: 1},[68],323,1,7,False
143,location other,human individual,29,False,False,True,{35: 1},[68],143,1,7,False
59,location other,human individual,29,False,False,True,{35: 1},[68],59,1,7,False
17,location other,location other,35,True,True,True,{35: 1},[68],17,1,7,False
161,location other,description,24,False,False,True,{35: 1},[68],161,1,7,False
220,location other,description,24,False,False,True,{35: 1},[68],220,1,7,False
290,location other,description,24,False,False,True,{35: 1},[68],290,1,7,False
224,description definition,description,24,False,True,False,{35: 1},[68],224,1,7,False
15,location other,human individual,29,False,False,True,{35: 1},[68],15,1,7,False
162,abbreviation expansion,description,24,False,False,False,{35: 1},[68],162,1,7,False
272,location other,location city,32,False,False,True,{35: 1},[68],272,1,7,False
193,abbreviation expansion,description,24,False,False,False,{35: 1},[68],193,1,7,False
325,location other,location city,32,False,False,True,{35: 1},[68],325,1,7,False
30,abbreviation abbreviation,description,24,False,False,False,{35: 1},[68],30,1,7,False
331,abbreviation expansion,description,24,False,False,False,{35: 1},[68],331,1,7,False
219,location other,description,24,False,False,True,{35: 1},[68],219,1,7,False
286,location other,location other,35,True,True,True,{35: 1},[68],286,1,7,False
246,location other,description,24,False,False,True,{35: 1},[68],246,1,7,False
68,location other,location other,35,True,True,True,{35: 1},[68],68,1,7,False
205,location other,location other,35,True,True,True,{35: 1},[68],205,1,7,False
232,location other,location other,35,True,True,True,{35: 1},[68],232,1,7,False
64,location other,location country,33,False,False,True,{35: 1},[68],64,1,7,False
121,location other,location other,35,True,True,True,{35: 1},[68],121,1,7,False
201,abbreviation abbreviation,abbreviation expansion,1,False,False,False,{35: 1},[68],201,1,7,False
315,abbreviation expansion,description,24,False,False,False,{35: 1},[68],315,1,7,False
145,location other,location other,35,True,True,True,{35: 1},[68],145,1,7,False
72,location other,human individual,29,False,False,True,{35: 1},[68],72,1,7,False
184,abbreviation expansion,description,24,False,False,False,{35: 1},[68],184,1,7,False
141,numeric other,numeric other,43,False,True,False,{35: 1},[68],141,1,7,False
95,location other,location other,35,True,True,True,{35: 1},[68],95,1,7,False
213,location other,location other,35,True,True,True,{35: 1},[68],213,1,7,False
38,abbreviation expansion,description,24,False,False,False,{35: 1},[68],38,1,7,False
256,location other,human individual,29,False,False,True,{35: 1},[68],256,1,7,False
29,location other,entity plant,14,False,False,True,{35: 1},[68],29,1,7,False
45,description definition,entity food,9,False,False,False,{35: 1},[68],45,1,7,False
151,location other,entity subst,18,False,False,True,{35: 1},[68],151,1,7,False
262,abbreviation abbreviation,description,24,False,False,False,{35: 1},[68],262,1,7,False
115,location other,location other,35,True,True,True,{35: 1},[68],115,1,7,False
269,location other,entity subst,18,False,False,True,{35: 1},[68],269,1,7,False
69,abbreviation abbreviation,description,24,False,False,False,{35: 1},[68],69,1,7,False
106,location other,human individual,29,False,False,True,{35: 1},[68],106,1,7,False
123,location other,location other,35,True,True,True,{35: 1},[68],123,1,7,False
