,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
3430,calendar query,news,45,False,False,False,"{18: 1, 52: 1, 67: 1, 53: 1, 27: 2, 11: 1, 15: 1, 57: 1, 40: 1}","[17849, 2810, 10833, 10954, 5321, 10571, 2850, 13775, 9754, 11320]",3430,10,8,False
2596,general quirky,music li,42,False,False,False,"{18: 1, 52: 1, 67: 1, 53: 1, 27: 2, 11: 1, 15: 1, 57: 1, 40: 1}","[17849, 2810, 10833, 10954, 5321, 10571, 2850, 13775, 9754, 11320]",2596,10,8,False
3083,general quirky,transport traffic,66,False,False,False,"{18: 1, 52: 1, 67: 1, 53: 1, 27: 2, 11: 1, 15: 1, 57: 1, 40: 1}","[17849, 2810, 10833, 10954, 5321, 10571, 2850, 13775, 9754, 11320]",3083,10,8,False
4420,social query,social post,59,False,False,False,"{18: 1, 52: 1, 67: 1, 53: 1, 27: 2, 11: 1, 15: 1, 57: 1, 40: 1}","[17849, 2810, 10833, 10954, 5321, 10571, 2850, 13775, 9754, 11320]",4420,10,8,False
5418,calendar set,calendar set,9,False,True,False,"{18: 1, 52: 1, 67: 1, 53: 1, 27: 2, 11: 1, 15: 1, 57: 1, 40: 1}","[17849, 2810, 10833, 10954, 5321, 10571, 2850, 13775, 9754, 11320]",5418,10,8,False
4839,general quirky,qa stock,55,False,False,False,"{18: 1, 52: 1, 67: 1, 53: 1, 27: 2, 11: 1, 15: 1, 57: 1, 40: 1}","[17849, 2810, 10833, 10954, 5321, 10571, 2850, 13775, 9754, 11320]",4839,10,8,False
4527,general command stop,iot wemo off,36,False,False,False,"{18: 1, 52: 1, 67: 1, 53: 1, 27: 2, 11: 1, 15: 1, 57: 1, 40: 1}","[17849, 2810, 10833, 10954, 5321, 10571, 2850, 13775, 9754, 11320]",4527,10,8,False
3327,general quirky,general qu,27,True,True,False,"{18: 1, 52: 1, 67: 1, 53: 1, 27: 2, 11: 1, 15: 1, 57: 1, 40: 1}","[17849, 2810, 10833, 10954, 5321, 10571, 2850, 13775, 9754, 11320]",3327,10,8,False
6345,general quirky,general neg,25,False,False,False,"{18: 1, 52: 1, 67: 1, 53: 1, 27: 2, 11: 1, 15: 1, 57: 1, 40: 1}","[17849, 2810, 10833, 10954, 5321, 10571, 2850, 13775, 9754, 11320]",6345,10,8,False
5766,music query,play music,48,False,False,False,"{18: 1, 52: 1, 67: 1, 53: 1, 27: 2, 11: 1, 15: 1, 57: 1, 40: 1}","[17849, 2810, 10833, 10954, 5321, 10571, 2850, 13775, 9754, 11320]",5766,10,8,False
5532,general quirky,general qu,27,True,True,False,"{18: 1, 52: 1, 67: 1, 53: 1, 27: 2, 11: 1, 15: 1, 57: 1, 40: 1}","[17849, 2810, 10833, 10954, 5321, 10571, 2850, 13775, 9754, 11320]",5532,10,8,False
3311,general quirky,calendar set,9,False,False,False,"{18: 1, 52: 1, 67: 1, 53: 1, 27: 2, 11: 1, 15: 1, 57: 1, 40: 1}","[17849, 2810, 10833, 10954, 5321, 10571, 2850, 13775, 9754, 11320]",3311,10,8,False
2917,general quirky,transport traffic,66,False,False,False,"{18: 1, 52: 1, 67: 1, 53: 1, 27: 2, 11: 1, 15: 1, 57: 1, 40: 1}","[17849, 2810, 10833, 10954, 5321, 10571, 2850, 13775, 9754, 11320]",2917,10,8,False
3270,social post,social post,59,False,True,False,"{18: 1, 52: 1, 67: 1, 53: 1, 27: 2, 11: 1, 15: 1, 57: 1, 40: 1}","[17849, 2810, 10833, 10954, 5321, 10571, 2850, 13775, 9754, 11320]",3270,10,8,False
5593,play podcasts,play podcast,49,False,True,False,"{18: 1, 52: 1, 67: 1, 53: 1, 27: 2, 11: 1, 15: 1, 57: 1, 40: 1}","[17849, 2810, 10833, 10954, 5321, 10571, 2850, 13775, 9754, 11320]",5593,10,8,False
5196,general quirky,qa stock,55,False,False,False,"{18: 1, 52: 1, 67: 1, 53: 1, 27: 2, 11: 1, 15: 1, 57: 1, 40: 1}","[17849, 2810, 10833, 10954, 5321, 10571, 2850, 13775, 9754, 11320]",5196,10,8,False
2816,calendar query,calendar remove,8,False,False,False,"{18: 1, 52: 1, 67: 1, 53: 1, 27: 2, 11: 1, 15: 1, 57: 1, 40: 1}","[17849, 2810, 10833, 10954, 5321, 10571, 2850, 13775, 9754, 11320]",2816,10,8,False
726,calendar query,calendar set,9,False,False,False,"{18: 1, 52: 1, 67: 1, 53: 1, 27: 2, 11: 1, 15: 1, 57: 1, 40: 1}","[17849, 2810, 10833, 10954, 5321, 10571, 2850, 13775, 9754, 11320]",726,10,8,False
