,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
12,entity creation,entity creation,5,True,True,True,"{5: 1, 24: 1, 29: 2, 38: 1}","[12, 546, 3558, 4218, 4636]",12,5,6,False
546,description definition,description definition,24,True,True,True,"{5: 1, 24: 1, 29: 2, 38: 1}","[12, 546, 3558, 4218, 4636]",546,5,6,False
3558,entity creation,human individual,29,True,False,True,"{5: 1, 24: 1, 29: 2, 38: 1}","[12, 546, 3558, 4218, 4636]",3558,5,6,False
4218,numeric count,numeric count,38,True,True,True,"{5: 1, 24: 1, 29: 2, 38: 1}","[12, 546, 3558, 4218, 4636]",4218,5,6,False
4636,human individual,human individual,29,True,True,True,"{5: 1, 24: 1, 29: 2, 38: 1}","[12, 546, 3558, 4218, 4636]",4636,5,6,False
3420,human individual,human individual,29,True,True,True,"{5: 1, 24: 1, 29: 2, 38: 1}","[12, 546, 3558, 4218, 4636]",3420,5,6,False
2836,description definition,description definition,24,True,True,True,"{5: 1, 24: 1, 29: 2, 38: 1}","[12, 546, 3558, 4218, 4636]",2836,5,6,False
222,entity creation,entity creation,5,True,True,True,"{5: 1, 24: 1, 29: 2, 38: 1}","[12, 546, 3558, 4218, 4636]",222,5,6,False
3256,entity creation,human group,28,False,False,True,"{5: 1, 24: 1, 29: 2, 38: 1}","[12, 546, 3558, 4218, 4636]",3256,5,6,False
5269,location city,location other,35,False,False,False,"{5: 1, 24: 1, 29: 2, 38: 1}","[12, 546, 3558, 4218, 4636]",5269,5,6,False
4707,description definition,description definition,24,True,True,True,"{5: 1, 24: 1, 29: 2, 38: 1}","[12, 546, 3558, 4218, 4636]",4707,5,6,False
5070,numeric count,numeric count,38,True,True,True,"{5: 1, 24: 1, 29: 2, 38: 1}","[12, 546, 3558, 4218, 4636]",5070,5,6,False
303,human individual,human individual,29,True,True,True,"{5: 1, 24: 1, 29: 2, 38: 1}","[12, 546, 3558, 4218, 4636]",303,5,6,False
1925,entity creation,numeric date,39,False,False,True,"{5: 1, 24: 1, 29: 2, 38: 1}","[12, 546, 3558, 4218, 4636]",1925,5,6,False
668,numeric count,numeric count,38,True,True,True,"{5: 1, 24: 1, 29: 2, 38: 1}","[12, 546, 3558, 4218, 4636]",668,5,6,False
255,description definition,description definition,24,True,True,True,"{5: 1, 24: 1, 29: 2, 38: 1}","[12, 546, 3558, 4218, 4636]",255,5,6,False
1592,human individual,entity instrument,10,False,False,True,"{5: 1, 24: 1, 29: 2, 38: 1}","[12, 546, 3558, 4218, 4636]",1592,5,6,False
1304,location other,location mountain,34,False,False,False,"{5: 1, 24: 1, 29: 2, 38: 1}","[12, 546, 3558, 4218, 4636]",1304,5,6,False
1166,description definition,entity word,23,False,False,True,"{5: 1, 24: 1, 29: 2, 38: 1}","[12, 546, 3558, 4218, 4636]",1166,5,6,False
3824,human individual,human individual,29,True,True,True,"{5: 1, 24: 1, 29: 2, 38: 1}","[12, 546, 3558, 4218, 4636]",3824,5,6,False
