,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
2782,how busy,how busy,102,False,True,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",2782,10,2,False,10
4050,expiration date,exp,44,False,True,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",4050,10,2,False,10
3387,cancel,cancel,147,False,True,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",3387,10,2,False,10
4122,cancel reservation,cancel res,67,False,True,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",4122,10,2,False,10
4317,meal suggestion,me,46,False,True,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",4317,10,2,False,10
2449,routing,routing,45,False,True,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",2449,10,2,False,10
5020,change language,o,42,False,False,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",5020,10,2,False,10
396,replacement card duration,replacement,90,False,True,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",396,10,2,False,10
1307,repeat,repeat,13,False,True,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",1307,10,2,False,10
3802,shopping list,shopping list,43,True,True,True,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",3802,10,2,False,10
1860,schedule maintenance,schedule maintenance,131,False,True,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",1860,10,2,False,10
2767,find phone,how busy,102,False,False,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",2767,10,2,False,10
2140,ingredient substitution,ingredient,134,False,True,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",2140,10,2,False,10
427,time,time,4,False,True,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",427,10,2,False,10
3982,calendar update,calendar update,105,False,True,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",3982,10,2,False,10
509,flight status,flight,80,False,True,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",509,10,2,False,10
726,restaurant reservation,restaurant res,23,False,True,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",726,10,2,False,10
1384,yes,yes,107,False,True,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",1384,10,2,False,10
3426,vaccines,v,52,False,True,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",3426,10,2,False,10
1407,yes,yes,107,False,True,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",1407,10,2,False,10
3990,are you a bot,are,117,False,True,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",3990,10,2,False,10
1600,no,no,30,False,True,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",1600,10,2,False,10
4182,change user name,change ai,55,False,False,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",4182,10,2,False,10
3096,order,report fra,70,False,False,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",3096,10,2,False,10
638,what can i ask you,what can,115,False,True,False,"{3: 1, 17: 1, 113: 1, 33: 1, 119: 1, 22: 1, 114: 1, 43: 1, 109: 1, 50: 1}","[14431, 7574, 1049, 1459, 1260, 1608, 9583, 10449, 1283, 8047]",638,10,2,False,10
