,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
2782,find phone,how busy,102,False,False,False,{20: 1},[8900],2782,1,5,False
4050,confirm reservation,exp,44,False,False,False,{20: 1},[8900],4050,1,5,False
3387,cancel,cancel,147,False,True,False,{20: 1},[8900],3387,1,5,False
4122,cancel reservation,cancel res,67,False,True,False,{20: 1},[8900],4122,1,5,False
4317,find phone,me,46,False,False,False,{20: 1},[8900],4317,1,5,False
2449,find phone,routing,45,False,False,False,{20: 1},[8900],2449,1,5,False
5020,change volume,o,42,False,False,False,{20: 1},[8900],5020,1,5,False
396,find phone,replacement,90,False,False,False,{20: 1},[8900],396,1,5,False
1307,confirm reservation,repeat,13,False,False,False,{20: 1},[8900],1307,1,5,False
3802,shopping list,shopping list,43,False,True,False,{20: 1},[8900],3802,1,5,False
1860,book flight,schedule maintenance,131,False,False,False,{20: 1},[8900],1860,1,5,False
2767,find phone,how busy,102,False,False,False,{20: 1},[8900],2767,1,5,False
2140,cook time,ingredient,134,False,False,False,{20: 1},[8900],2140,1,5,False
427,find phone,time,4,False,False,False,{20: 1},[8900],427,1,5,False
3982,cancel,calendar update,105,False,False,False,{20: 1},[8900],3982,1,5,False
509,book flight,flight,80,False,False,False,{20: 1},[8900],509,1,5,False
726,book hotel,restaurant res,23,False,False,False,{20: 1},[8900],726,1,5,False
1384,confirm reservation,yes,107,False,False,False,{20: 1},[8900],1384,1,5,False
3426,travel alert,v,52,False,False,False,{20: 1},[8900],3426,1,5,False
1407,confirm reservation,yes,107,False,False,False,{20: 1},[8900],1407,1,5,False
3990,confirm reservation,are,117,False,False,False,{20: 1},[8900],3990,1,5,False
1600,cancel,no,30,False,False,False,{20: 1},[8900],1600,1,5,False
4182,insurance,change ai,55,False,False,False,{20: 1},[8900],4182,1,5,False
3096,cancel,report fra,70,False,False,False,{20: 1},[8900],3096,1,5,False
638,find phone,what can,115,False,False,False,{20: 1},[8900],638,1,5,False
4536,find phone,o,42,False,False,False,{20: 1},[8900],4536,1,5,False
