,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
360,entity body,description definition,24,True,False,False,"{38: 2, 29: 11, 27: 2, 44: 1, 20: 1, 24: 5, 13: 3, 35: 3, 28: 3, 21: 4, 25: 3, 0: 1, 26: 1, 7: 1, 33: 2, 2: 1, 9: 2, 41: 1, 45: 1, 11: 1, 39: 1}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823, 1291, 3851, 5451, 4707, 1376, 3063, 4344, 212, 144, 1071, 4508, 2940, 19, 2857, 2315, 5151, 3789, 1779, 3537, 1918, 772, 902, 3459, 4564, 3105, 5100, 4608, 4687, 2765, 4810, 4529, 1864, 1168, 147, 2618, 4058, 328, 5366, 1229, 219]",360,50,0,False,50
17,human individual,human individual,29,True,True,True,"{38: 2, 29: 11, 27: 2, 44: 1, 20: 1, 24: 5, 13: 3, 35: 3, 28: 3, 21: 4, 25: 3, 0: 1, 26: 1, 7: 1, 33: 2, 2: 1, 9: 2, 41: 1, 45: 1, 11: 1, 39: 1}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823, 1291, 3851, 5451, 4707, 1376, 3063, 4344, 212, 144, 1071, 4508, 2940, 19, 2857, 2315, 5151, 3789, 1779, 3537, 1918, 772, 902, 3459, 4564, 3105, 5100, 4608, 4687, 2765, 4810, 4529, 1864, 1168, 147, 2618, 4058, 328, 5366, 1229, 219]",17,50,0,False,50
361,description definition,description definition,24,True,True,True,"{38: 2, 29: 11, 27: 2, 44: 1, 20: 1, 24: 5, 13: 3, 35: 3, 28: 3, 21: 4, 25: 3, 0: 1, 26: 1, 7: 1, 33: 2, 2: 1, 9: 2, 41: 1, 45: 1, 11: 1, 39: 1}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823, 1291, 3851, 5451, 4707, 1376, 3063, 4344, 212, 144, 1071, 4508, 2940, 19, 2857, 2315, 5151, 3789, 1779, 3537, 1918, 772, 902, 3459, 4564, 3105, 5100, 4608, 4687, 2765, 4810, 4529, 1864, 1168, 147, 2618, 4058, 328, 5366, 1229, 219]",361,50,0,False,50
411,entity substance,entity subst,18,False,True,False,"{38: 2, 29: 11, 27: 2, 44: 1, 20: 1, 24: 5, 13: 3, 35: 3, 28: 3, 21: 4, 25: 3, 0: 1, 26: 1, 7: 1, 33: 2, 2: 1, 9: 2, 41: 1, 45: 1, 11: 1, 39: 1}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823, 1291, 3851, 5451, 4707, 1376, 3063, 4344, 212, 144, 1071, 4508, 2940, 19, 2857, 2315, 5151, 3789, 1779, 3537, 1918, 772, 902, 3459, 4564, 3105, 5100, 4608, 4687, 2765, 4810, 4529, 1864, 1168, 147, 2618, 4058, 328, 5366, 1229, 219]",411,50,0,False,50
67,description manner,description definition,24,True,False,True,"{38: 2, 29: 11, 27: 2, 44: 1, 20: 1, 24: 5, 13: 3, 35: 3, 28: 3, 21: 4, 25: 3, 0: 1, 26: 1, 7: 1, 33: 2, 2: 1, 9: 2, 41: 1, 45: 1, 11: 1, 39: 1}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823, 1291, 3851, 5451, 4707, 1376, 3063, 4344, 212, 144, 1071, 4508, 2940, 19, 2857, 2315, 5151, 3789, 1779, 3537, 1918, 772, 902, 3459, 4564, 3105, 5100, 4608, 4687, 2765, 4810, 4529, 1864, 1168, 147, 2618, 4058, 328, 5366, 1229, 219]",67,50,0,False,50
425,location other,entity other,13,True,False,True,"{38: 2, 29: 11, 27: 2, 44: 1, 20: 1, 24: 5, 13: 3, 35: 3, 28: 3, 21: 4, 25: 3, 0: 1, 26: 1, 7: 1, 33: 2, 2: 1, 9: 2, 41: 1, 45: 1, 11: 1, 39: 1}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823, 1291, 3851, 5451, 4707, 1376, 3063, 4344, 212, 144, 1071, 4508, 2940, 19, 2857, 2315, 5151, 3789, 1779, 3537, 1918, 772, 902, 3459, 4564, 3105, 5100, 4608, 4687, 2765, 4810, 4529, 1864, 1168, 147, 2618, 4058, 328, 5366, 1229, 219]",425,50,0,False,50
104,location other,location city,32,False,False,True,"{38: 2, 29: 11, 27: 2, 44: 1, 20: 1, 24: 5, 13: 3, 35: 3, 28: 3, 21: 4, 25: 3, 0: 1, 26: 1, 7: 1, 33: 2, 2: 1, 9: 2, 41: 1, 45: 1, 11: 1, 39: 1}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823, 1291, 3851, 5451, 4707, 1376, 3063, 4344, 212, 144, 1071, 4508, 2940, 19, 2857, 2315, 5151, 3789, 1779, 3537, 1918, 772, 902, 3459, 4564, 3105, 5100, 4608, 4687, 2765, 4810, 4529, 1864, 1168, 147, 2618, 4058, 328, 5366, 1229, 219]",104,50,0,False,50
394,description definition,description definition,24,True,True,True,"{38: 2, 29: 11, 27: 2, 44: 1, 20: 1, 24: 5, 13: 3, 35: 3, 28: 3, 21: 4, 25: 3, 0: 1, 26: 1, 7: 1, 33: 2, 2: 1, 9: 2, 41: 1, 45: 1, 11: 1, 39: 1}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823, 1291, 3851, 5451, 4707, 1376, 3063, 4344, 212, 144, 1071, 4508, 2940, 19, 2857, 2315, 5151, 3789, 1779, 3537, 1918, 772, 902, 3459, 4564, 3105, 5100, 4608, 4687, 2765, 4810, 4529, 1864, 1168, 147, 2618, 4058, 328, 5366, 1229, 219]",394,50,0,False,50
450,entity color,entity color,4,False,True,False,"{38: 2, 29: 11, 27: 2, 44: 1, 20: 1, 24: 5, 13: 3, 35: 3, 28: 3, 21: 4, 25: 3, 0: 1, 26: 1, 7: 1, 33: 2, 2: 1, 9: 2, 41: 1, 45: 1, 11: 1, 39: 1}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823, 1291, 3851, 5451, 4707, 1376, 3063, 4344, 212, 144, 1071, 4508, 2940, 19, 2857, 2315, 5151, 3789, 1779, 3537, 1918, 772, 902, 3459, 4564, 3105, 5100, 4608, 4687, 2765, 4810, 4529, 1864, 1168, 147, 2618, 4058, 328, 5366, 1229, 219]",450,50,0,False,50
141,entity animal,entity animal,2,True,True,True,"{38: 2, 29: 11, 27: 2, 44: 1, 20: 1, 24: 5, 13: 3, 35: 3, 28: 3, 21: 4, 25: 3, 0: 1, 26: 1, 7: 1, 33: 2, 2: 1, 9: 2, 41: 1, 45: 1, 11: 1, 39: 1}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823, 1291, 3851, 5451, 4707, 1376, 3063, 4344, 212, 144, 1071, 4508, 2940, 19, 2857, 2315, 5151, 3789, 1779, 3537, 1918, 772, 902, 3459, 4564, 3105, 5100, 4608, 4687, 2765, 4810, 4529, 1864, 1168, 147, 2618, 4058, 328, 5366, 1229, 219]",141,50,0,False,50
