,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
4077,cooking recipe,music settings,44,False,False,False,{11: 1},[6977],4077,1,8,False
3189,news query,news,45,False,True,False,{11: 1},[6977],3189,1,8,False
1602,iot hue light off,general qu,27,False,False,False,{11: 1},[6977],1602,1,8,False
3789,cooking recipe,calendar query,7,False,False,False,{11: 1},[6977],3789,1,8,False
2924,iot hue light off,general neg,25,False,False,False,{11: 1},[6977],2924,1,8,False
5465,music settings,music li,42,False,False,False,{11: 1},[6977],5465,1,8,False
2269,social post,social query,60,False,False,False,{11: 1},[6977],2269,1,8,False
3965,cooking recipe,general dont,21,False,False,False,{11: 1},[6977],3965,1,8,False
431,cooking recipe,qa stock,55,False,False,False,{11: 1},[6977],431,1,8,False
2221,cooking recipe,general neg,25,False,False,False,{11: 1},[6977],2221,1,8,False
6128,alarm set,alarm set,2,False,True,False,{11: 1},[6977],6128,1,8,False
530,cooking recipe,calendar remove,8,False,False,False,{11: 1},[6977],530,1,8,False
1199,takeaway order,iot coffee,30,False,False,False,{11: 1},[6977],1199,1,8,False
3488,calendar set,calendar set,9,False,True,False,{11: 1},[6977],3488,1,8,False
4132,transport query,transport tax,64,False,False,False,{11: 1},[6977],4132,1,8,False
468,cooking recipe,general qu,27,False,False,False,{11: 1},[6977],468,1,8,False
3065,iot hue light off,general qu,27,False,False,False,{11: 1},[6977],3065,1,8,False
3611,music query,play music,48,False,False,False,{11: 1},[6977],3611,1,8,False
5162,cooking recipe,general repeat,28,False,False,False,{11: 1},[6977],5162,1,8,False
5190,cooking recipe,email query contact,16,False,False,False,{11: 1},[6977],5190,1,8,False
3205,cooking recipe,play music,48,False,False,False,{11: 1},[6977],3205,1,8,False
6166,cooking recipe,play music,48,False,False,False,{11: 1},[6977],6166,1,8,False
3191,news query,news,45,False,True,False,{11: 1},[6977],3191,1,8,False
3190,cooking recipe,general pra,26,False,False,False,{11: 1},[6977],3190,1,8,False
396,calendar query,calendar query,7,False,True,False,{11: 1},[6977],396,1,8,False
1421,news query,news,45,False,True,False,{11: 1},[6977],1421,1,8,False
4890,cooking recipe,general repeat,28,False,False,False,{11: 1},[6977],4890,1,8,False
6193,email add contact,email s,17,False,False,False,{11: 1},[6977],6193,1,8,False
132,cooking recipe,general confirm,20,False,False,False,{11: 1},[6977],132,1,8,False
1219,calendar query,calendar query,7,False,True,False,{11: 1},[6977],1219,1,8,False
817,cooking recipe,qa definition,52,False,False,False,{11: 1},[6977],817,1,8,False
3747,cooking recipe,general confirm,20,False,False,False,{11: 1},[6977],3747,1,8,False
4668,weather query,weather,67,False,True,False,{11: 1},[6977],4668,1,8,False
4616,weather query,weather,67,False,True,False,{11: 1},[6977],4616,1,8,False
6006,cooking recipe,general qu,27,False,False,False,{11: 1},[6977],6006,1,8,False
1934,cooking recipe,social post,59,False,False,False,{11: 1},[6977],1934,1,8,False
2118,calendar query,calendar set,9,False,False,False,{11: 1},[6977],2118,1,8,False
1352,weather query,weather,67,False,True,False,{11: 1},[6977],1352,1,8,False
3041,cooking recipe,recommendation locations,57,False,False,False,{11: 1},[6977],3041,1,8,False
6286,cooking recipe,general repeat,28,False,False,False,{11: 1},[6977],6286,1,8,False
1546,cooking recipe,general explain,22,False,False,False,{11: 1},[6977],1546,1,8,False
365,cooking recipe,general dont,21,False,False,False,{11: 1},[6977],365,1,8,False
6074,cooking recipe,qa stock,55,False,False,False,{11: 1},[6977],6074,1,8,False
5712,general command stop,recommendation mov,58,False,False,False,{11: 1},[6977],5712,1,8,False
4203,transport query,transport query,63,False,True,False,{11: 1},[6977],4203,1,8,False
1761,cooking recipe,recommendation locations,57,False,False,False,{11: 1},[6977],1761,1,8,False
6409,email add contact,email s,17,False,False,False,{11: 1},[6977],6409,1,8,False
371,cooking recipe,iot coffee,30,False,False,False,{11: 1},[6977],371,1,8,False
2523,calendar query,calendar query,7,False,True,False,{11: 1},[6977],2523,1,8,False
5507,cooking recipe,play pod,49,False,False,False,{11: 1},[6977],5507,1,8,False
1818,cooking recipe,play pod,49,False,False,False,{11: 1},[6977],1818,1,8,False
1315,music settings,audio volume up,6,False,False,False,{11: 1},[6977],1315,1,8,False
4399,play podcasts,play pod,49,False,True,False,{11: 1},[6977],4399,1,8,False
2035,alarm set,alarm set,2,False,True,False,{11: 1},[6977],2035,1,8,False
3579,cooking recipe,qa fact,53,False,False,False,{11: 1},[6977],3579,1,8,False
3979,music query,play music,48,False,False,False,{11: 1},[6977],3979,1,8,False
5530,cooking recipe,general pra,26,False,False,False,{11: 1},[6977],5530,1,8,False
2427,general command stop,qa definition,52,False,False,False,{11: 1},[6977],2427,1,8,False
5789,cooking recipe,iot coffee,30,False,False,False,{11: 1},[6977],5789,1,8,False
6346,transport ticket,transport ticket,65,False,True,False,{11: 1},[6977],6346,1,8,False
1816,cooking recipe,play pod,49,False,False,False,{11: 1},[6977],1816,1,8,False
4932,email query,email query,15,False,True,False,{11: 1},[6977],4932,1,8,False
1817,weather query,calendar query,7,False,False,False,{11: 1},[6977],1817,1,8,False
4445,cooking recipe,general qu,27,False,False,False,{11: 1},[6977],4445,1,8,False
813,cooking recipe,general repeat,28,False,False,False,{11: 1},[6977],813,1,8,False
5438,general command stop,general qu,27,False,False,False,{11: 1},[6977],5438,1,8,False
5866,cooking recipe,calendar set,9,False,False,False,{11: 1},[6977],5866,1,8,False
