,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
152,location country,numeric other,43,False,False,False,{32: 1},[304],152,1,4,False
94,location city,description,24,False,False,True,{32: 1},[304],94,1,4,False
337,location city,human individual,29,False,False,True,{32: 1},[304],337,1,4,False
78,location country,numeric distance,40,False,False,False,{32: 1},[304],78,1,4,False
323,location country,entity currency,6,False,False,False,{32: 1},[304],323,1,4,False
143,location city,human individual,29,False,False,True,{32: 1},[304],143,1,4,False
59,location city,human individual,29,False,False,True,{32: 1},[304],59,1,4,False
17,location city,location other,35,False,False,True,{32: 1},[304],17,1,4,False
161,location city,description,24,False,False,True,{32: 1},[304],161,1,4,False
220,location city,description,24,False,False,True,{32: 1},[304],220,1,4,False
290,location city,description,24,False,False,True,{32: 1},[304],290,1,4,False
224,location city,description,24,False,False,True,{32: 1},[304],224,1,4,False
15,location city,human individual,29,False,False,True,{32: 1},[304],15,1,4,False
162,abbreviation abbreviation,description,24,False,False,False,{32: 1},[304],162,1,4,False
272,location city,location city,32,True,True,True,{32: 1},[304],272,1,4,False
193,abbreviation abbreviation,description,24,False,False,False,{32: 1},[304],193,1,4,False
325,location city,location city,32,True,True,True,{32: 1},[304],325,1,4,False
30,description definition,description,24,False,True,False,{32: 1},[304],30,1,4,False
331,abbreviation abbreviation,description,24,False,False,False,{32: 1},[304],331,1,4,False
219,location city,description,24,False,False,True,{32: 1},[304],219,1,4,False
286,location city,location other,35,False,False,True,{32: 1},[304],286,1,4,False
246,location city,description,24,False,False,True,{32: 1},[304],246,1,4,False
68,location country,location other,35,False,False,False,{32: 1},[304],68,1,4,False
205,location city,location other,35,False,False,True,{32: 1},[304],205,1,4,False
232,location city,location other,35,False,False,True,{32: 1},[304],232,1,4,False
64,location country,location country,33,False,True,False,{32: 1},[304],64,1,4,False
121,location city,location other,35,False,False,True,{32: 1},[304],121,1,4,False
201,abbreviation abbreviation,abbreviation expansion,1,False,False,False,{32: 1},[304],201,1,4,False
315,location city,description,24,False,False,True,{32: 1},[304],315,1,4,False
145,location city,location other,35,False,False,True,{32: 1},[304],145,1,4,False
72,location city,human individual,29,False,False,True,{32: 1},[304],72,1,4,False
184,location city,description,24,False,False,True,{32: 1},[304],184,1,4,False
141,numeric temperature,numeric other,43,False,False,False,{32: 1},[304],141,1,4,False
95,location city,location other,35,False,False,True,{32: 1},[304],95,1,4,False
213,location city,location other,35,False,False,True,{32: 1},[304],213,1,4,False
38,abbreviation abbreviation,description,24,False,False,False,{32: 1},[304],38,1,4,False
256,location city,human individual,29,False,False,True,{32: 1},[304],256,1,4,False
29,location city,entity plant,14,False,False,True,{32: 1},[304],29,1,4,False
45,location city,entity food,9,False,False,True,{32: 1},[304],45,1,4,False
151,location city,entity subst,18,False,False,True,{32: 1},[304],151,1,4,False
262,location city,description,24,False,False,True,{32: 1},[304],262,1,4,False
115,location city,location other,35,False,False,True,{32: 1},[304],115,1,4,False
269,location city,entity subst,18,False,False,True,{32: 1},[304],269,1,4,False
69,location city,description,24,False,False,True,{32: 1},[304],69,1,4,False
106,location city,human individual,29,False,False,True,{32: 1},[304],106,1,4,False
123,location country,location other,35,False,False,False,{32: 1},[304],123,1,4,False
233,location city,entity plant,14,False,False,True,{32: 1},[304],233,1,4,False
41,location city,location city,32,True,True,True,{32: 1},[304],41,1,4,False
236,location city,numeric distance,40,False,False,True,{32: 1},[304],236,1,4,False
55,location city,numeric distance,40,False,False,True,{32: 1},[304],55,1,4,False
289,location country,location other,35,False,False,False,{32: 1},[304],289,1,4,False
149,location city,description,24,False,False,True,{32: 1},[304],149,1,4,False
239,location city,numeric other,43,False,False,True,{32: 1},[304],239,1,4,False
103,location city,entity vehicle,22,False,False,True,{32: 1},[304],103,1,4,False
35,location city,description,24,False,False,True,{32: 1},[304],35,1,4,False
132,location city,entity subst,18,False,False,True,{32: 1},[304],132,1,4,False
172,location city,numeric distance,40,False,False,True,{32: 1},[304],172,1,4,False
74,location city,description,24,False,False,True,{32: 1},[304],74,1,4,False
180,location city,location city,32,True,True,True,{32: 1},[304],180,1,4,False
241,location city,numeric distance,40,False,False,True,{32: 1},[304],241,1,4,False
140,location city,human individual,29,False,False,True,{32: 1},[304],140,1,4,False
245,location city,entity currency,6,False,False,True,{32: 1},[304],245,1,4,False
320,location city,description,24,False,False,True,{32: 1},[304],320,1,4,False
1,location city,location city,32,True,True,True,{32: 1},[304],1,1,4,False
67,location city,human group,28,False,False,True,{32: 1},[304],67,1,4,False
138,location city,entity subst,18,False,False,True,{32: 1},[304],138,1,4,False
298,location city,description,24,False,False,True,{32: 1},[304],298,1,4,False
271,location city,numeric distance,40,False,False,True,{32: 1},[304],271,1,4,False
13,location city,human individual,29,False,False,True,{32: 1},[304],13,1,4,False
235,location city,human individual,29,False,False,True,{32: 1},[304],235,1,4,False
3,location city,numeric distance,40,False,False,True,{32: 1},[304],3,1,4,False
56,human group,numeric weight,49,False,False,False,{32: 1},[304],56,1,4,False
258,location city,human individual,29,False,False,True,{32: 1},[304],258,1,4,False
223,location city,location other,35,False,False,True,{32: 1},[304],223,1,4,False
65,abbreviation abbreviation,description,24,False,False,False,{32: 1},[304],65,1,4,False
104,abbreviation abbreviation,description,24,False,False,False,{32: 1},[304],104,1,4,False
308,location city,entity food,9,False,False,True,{32: 1},[304],308,1,4,False
82,location city,entity subst,18,False,False,True,{32: 1},[304],82,1,4,False
11,location city,numeric other,43,False,False,True,{32: 1},[304],11,1,4,False
324,location city,description,24,False,False,True,{32: 1},[304],324,1,4,False
36,location city,human individual,29,False,False,True,{32: 1},[304],36,1,4,False
318,location city,description,24,False,False,True,{32: 1},[304],318,1,4,False
192,location city,description,24,False,False,True,{32: 1},[304],192,1,4,False
130,abbreviation expansion,description,24,False,False,False,{32: 1},[304],130,1,4,False
128,location city,human individual,29,False,False,True,{32: 1},[304],128,1,4,False
197,location city,location city,32,True,True,True,{32: 1},[304],197,1,4,False
27,location city,location other,35,False,False,True,{32: 1},[304],27,1,4,False
295,location city,location other,35,False,False,True,{32: 1},[304],295,1,4,False
47,location city,location other,35,False,False,True,{32: 1},[304],47,1,4,False
10,location city,human individual,29,False,False,True,{32: 1},[304],10,1,4,False
268,location city,human individual,29,False,False,True,{32: 1},[304],268,1,4,False
316,location city,human group,28,False,False,True,{32: 1},[304],316,1,4,False
243,location city,location other,35,False,False,True,{32: 1},[304],243,1,4,False
299,location city,description,24,False,False,True,{32: 1},[304],299,1,4,False
127,location city,entity subst,18,False,False,True,{32: 1},[304],127,1,4,False
75,location city,numeric temperature,47,False,False,True,{32: 1},[304],75,1,4,False
76,location city,location other,35,False,False,True,{32: 1},[304],76,1,4,False
251,abbreviation abbreviation,abbreviation expansion,1,False,False,False,{32: 1},[304],251,1,4,False
263,location city,numeric other,43,False,False,True,{32: 1},[304],263,1,4,False
142,location city,location other,35,False,False,True,{32: 1},[304],142,1,4,False
37,location city,human individual,29,False,False,True,{32: 1},[304],37,1,4,False
292,location city,description,24,False,False,True,{32: 1},[304],292,1,4,False
329,location city,description,24,False,False,True,{32: 1},[304],329,1,4,False
48,location city,numeric other,43,False,False,True,{32: 1},[304],48,1,4,False
2,location city,description,24,False,False,True,{32: 1},[304],2,1,4,False
237,human group,description,24,False,False,False,{32: 1},[304],237,1,4,False
102,location city,human individual,29,False,False,True,{32: 1},[304],102,1,4,False
273,location city,description,24,False,False,True,{32: 1},[304],273,1,4,False
117,abbreviation abbreviation,description,24,False,False,False,{32: 1},[304],117,1,4,False
62,location city,human individual,29,False,False,True,{32: 1},[304],62,1,4,False
195,abbreviation abbreviation,description,24,False,False,False,{32: 1},[304],195,1,4,False
57,location city,human individual,29,False,False,True,{32: 1},[304],57,1,4,False
327,location city,entity subst,18,False,False,True,{32: 1},[304],327,1,4,False
135,location city,location city,32,True,True,True,{32: 1},[304],135,1,4,False
255,location city,entity subst,18,False,False,True,{32: 1},[304],255,1,4,False
53,numeric order,description,24,False,False,False,{32: 1},[304],53,1,4,False
98,human group,description,24,False,False,False,{32: 1},[304],98,1,4,False
310,location city,location other,35,False,False,True,{32: 1},[304],310,1,4,False
111,location city,description,24,False,False,True,{32: 1},[304],111,1,4,False
217,abbreviation abbreviation,abbreviation expansion,1,False,False,False,{32: 1},[304],217,1,4,False
238,abbreviation abbreviation,description,24,False,False,False,{32: 1},[304],238,1,4,False
278,location city,location city,32,True,True,True,{32: 1},[304],278,1,4,False
280,location city,entity plant,14,False,False,True,{32: 1},[304],280,1,4,False
230,location city,human individual,29,False,False,True,{32: 1},[304],230,1,4,False
88,location city,human individual,29,False,False,True,{32: 1},[304],88,1,4,False
90,location city,description,24,False,False,True,{32: 1},[304],90,1,4,False
8,location city,human individual,29,False,False,True,{32: 1},[304],8,1,4,False
0,location city,numeric distance,40,False,False,True,{32: 1},[304],0,1,4,False
284,location city,human individual,29,False,False,True,{32: 1},[304],284,1,4,False
144,numeric temperature,numeric temperature,47,False,True,False,{32: 1},[304],144,1,4,False
191,location city,location other,35,False,False,True,{32: 1},[304],191,1,4,False
244,numeric weight,numeric weight,49,False,True,False,{32: 1},[304],244,1,4,False
93,location city,description,24,False,False,True,{32: 1},[304],93,1,4,False
212,location city,human individual,29,False,False,True,{32: 1},[304],212,1,4,False
54,location country,entity currency,6,False,False,False,{32: 1},[304],54,1,4,False
66,location city,numeric temperature,47,False,False,True,{32: 1},[304],66,1,4,False
126,location city,description,24,False,False,True,{32: 1},[304],126,1,4,False
335,location city,description,24,False,False,True,{32: 1},[304],335,1,4,False
185,abbreviation abbreviation,abbreviation abbre,0,False,True,False,{32: 1},[304],185,1,4,False
178,abbreviation abbreviation,description,24,False,False,False,{32: 1},[304],178,1,4,False
250,location city,description,24,False,False,True,{32: 1},[304],250,1,4,False
101,abbreviation abbreviation,description,24,False,False,False,{32: 1},[304],101,1,4,False
283,location city,description,24,False,False,True,{32: 1},[304],283,1,4,False
165,entity plant,description,24,False,False,False,{32: 1},[304],165,1,4,False
169,location city,entity subst,18,False,False,True,{32: 1},[304],169,1,4,False
277,location city,entity subst,18,False,False,True,{32: 1},[304],277,1,4,False
167,location city,human individual,29,False,False,True,{32: 1},[304],167,1,4,False
332,location city,location city,32,True,True,True,{32: 1},[304],332,1,4,False
97,location city,human title,30,False,False,True,{32: 1},[304],97,1,4,False
168,location city,location city,32,True,True,True,{32: 1},[304],168,1,4,False
287,location city,entity vehicle,22,False,False,True,{32: 1},[304],287,1,4,False
9,numeric weight,numeric weight,49,False,True,False,{32: 1},[304],9,1,4,False
39,location city,description,24,False,False,True,{32: 1},[304],39,1,4,False
136,location country,entity currency,6,False,False,False,{32: 1},[304],136,1,4,False
159,location city,description,24,False,False,True,{32: 1},[304],159,1,4,False
60,location country,numeric other,43,False,False,False,{32: 1},[304],60,1,4,False
276,location city,human individual,29,False,False,True,{32: 1},[304],276,1,4,False
228,location city,human individual,29,False,False,True,{32: 1},[304],228,1,4,False
157,location city,description,24,False,False,True,{32: 1},[304],157,1,4,False
31,abbreviation abbreviation,description,24,False,False,False,{32: 1},[304],31,1,4,False
99,location city,description,24,False,False,True,{32: 1},[304],99,1,4,False
312,abbreviation abbreviation,description,24,False,False,False,{32: 1},[304],312,1,4,False
179,location city,description,24,False,False,True,{32: 1},[304],179,1,4,False
296,location city,human individual,29,False,False,True,{32: 1},[304],296,1,4,False
210,location city,location other,35,False,False,True,{32: 1},[304],210,1,4,False
108,location city,human group,28,False,False,True,{32: 1},[304],108,1,4,False
80,location city,entity plant,14,False,False,True,{32: 1},[304],80,1,4,False
19,human group,description,24,False,False,False,{32: 1},[304],19,1,4,False
265,location city,description,24,False,False,True,{32: 1},[304],265,1,4,False
129,location city,human individual,29,False,False,True,{32: 1},[304],129,1,4,False
187,location city,location other,35,False,False,True,{32: 1},[304],187,1,4,False
304,location city,human individual,29,False,False,True,{32: 1},[304],304,1,4,False
118,location city,human individual,29,False,False,True,{32: 1},[304],118,1,4,False
155,location city,human individual,29,False,False,True,{32: 1},[304],155,1,4,False
209,abbreviation abbreviation,description,24,False,False,False,{32: 1},[304],209,1,4,False
139,location city,location city,32,True,True,True,{32: 1},[304],139,1,4,False
131,location city,location other,35,False,False,True,{32: 1},[304],131,1,4,False
207,location city,location city,32,True,True,True,{32: 1},[304],207,1,4,False
249,location city,location other,35,False,False,True,{32: 1},[304],249,1,4,False
110,location city,location city,32,True,True,True,{32: 1},[304],110,1,4,False
122,location city,numeric distance,40,False,False,True,{32: 1},[304],122,1,4,False
71,location city,description,24,False,False,True,{32: 1},[304],71,1,4,False
221,location city,entity vehicle,22,False,False,True,{32: 1},[304],221,1,4,False
225,location city,entity food,9,False,False,True,{32: 1},[304],225,1,4,False
6,location city,description,24,False,False,True,{32: 1},[304],6,1,4,False
186,location city,entity subst,18,False,False,True,{32: 1},[304],186,1,4,False
175,location city,human individual,29,False,False,True,{32: 1},[304],175,1,4,False
288,location city,description,24,False,False,True,{32: 1},[304],288,1,4,False
321,location country,entity currency,6,False,False,False,{32: 1},[304],321,1,4,False
114,location city,description,24,False,False,True,{32: 1},[304],114,1,4,False
248,location city,entity food,9,False,False,True,{32: 1},[304],248,1,4,False
226,location city,description,24,False,False,True,{32: 1},[304],226,1,4,False
302,location city,entity subst,18,False,False,True,{32: 1},[304],302,1,4,False
77,location city,description,24,False,False,True,{32: 1},[304],77,1,4,False
12,location city,entity subst,18,False,False,True,{32: 1},[304],12,1,4,False
267,location city,numeric other,43,False,False,True,{32: 1},[304],267,1,4,False
240,entity food,description,24,False,False,False,{32: 1},[304],240,1,4,False
119,location city,description,24,False,False,True,{32: 1},[304],119,1,4,False
22,location city,location other,35,False,False,True,{32: 1},[304],22,1,4,False
181,abbreviation abbreviation,description,24,False,False,False,{32: 1},[304],181,1,4,False
124,abbreviation abbreviation,description,24,False,False,False,{32: 1},[304],124,1,4,False
46,description definition,description,24,False,True,False,{32: 1},[304],46,1,4,False
133,location city,numeric distance,40,False,False,True,{32: 1},[304],133,1,4,False
247,location city,description,24,False,False,True,{32: 1},[304],247,1,4,False
79,location city,human individual,29,False,False,True,{32: 1},[304],79,1,4,False
