,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
152,numeric other,numeric other,43,True,True,True,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",152,20,4,False,20
94,description definition,description,24,True,True,False,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",94,20,4,False,20
337,human individual,human individual,29,True,True,True,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",337,20,4,False,20
78,numeric distance,numeric distance,40,True,True,True,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",78,20,4,False,20
323,entity currency,entity currency,6,False,True,False,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",323,20,4,False,20
143,human individual,human individual,29,True,True,True,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",143,20,4,False,20
59,human individual,human individual,29,True,True,True,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",59,20,4,False,20
17,location other,location other,35,True,True,True,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",17,20,4,False,20
161,entity creation,description,24,True,False,True,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",161,20,4,False,20
220,description definition,description,24,True,True,False,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",220,20,4,False,20
290,description definition,description,24,True,True,False,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",290,20,4,False,20
224,description definition,description,24,True,True,False,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",224,20,4,False,20
15,human individual,human individual,29,True,True,True,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",15,20,4,False,20
162,description definition,description,24,True,True,False,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",162,20,4,False,20
272,location other,location city,32,True,False,True,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",272,20,4,False,20
193,description definition,description,24,True,True,False,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",193,20,4,False,20
325,location other,location city,32,True,False,True,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",325,20,4,False,20
30,entity substance,description,24,True,False,False,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",30,20,4,False,20
331,description definition,description,24,True,True,False,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",331,20,4,False,20
219,description definition,description,24,True,True,False,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",219,20,4,False,20
286,entity creation,location other,35,True,False,True,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",286,20,4,False,20
246,description definition,description,24,True,True,False,"{32: 1, 43: 3, 28: 1, 29: 6, 35: 4, 24: 2, 5: 1, 18: 1, 40: 1}","[304, 2547, 652, 2803, 211, 2774, 203, 3054, 873, 1955, 1873, 2641, 32, 524, 1545, 1440, 428, 2406, 2510, 775]",246,20,4,False,20
