,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
360,entity body,description definition,24,True,False,False,"{27: 3, 13: 6, 38: 12, 35: 10, 7: 3, 45: 2, 29: 22, 26: 6, 39: 4, 25: 6, 44: 5, 18: 1, 15: 1, 24: 12, 41: 2, 21: 2, 5: 3, 28: 6, 17: 2, 2: 3, 4: 1, 9: 1, 20: 1, 8: 2, 49: 1, 40: 1, 23: 2, 33: 4, 34: 1, 32: 3, 36: 1, 11: 2}","[365, 353, 2801, 2313, 4363, 3055, 466, 5179, 4620, 922, 1488, 3354, 1490, 872, 280, 265, 3837, 2759, 5068, 1765, 2589, 1272, 2677, 4079, 926, 4931, 1511, 989, 3357, 999, 2993, 4192, 5431, 5121, 5175, 2470, 2867, 1374, 5434, 4983, 5381, 4304, 3235, 2126, 1748, 3628, 3439, 1615, 5008, 4767, 3479, 862, 3772, 522, 5242, 980, 4258, 3229, 787, 4436, 3886, 4934, 1882, 5154, 3111, 1353, 1329, 299, 1286, 1212, 1588, 4679, 4669, 3495, 1902, 1362, 2606, 5310, 2142, 3632, 1053, 2593, 2740, 2107, 1110, 4029, 5045, 3603, 3962, 2979, 3204, 4830, 774, 3892, 3218, 893, 666, 932, 5118, 1568, 3523, 887, 4114, 3364, 3066, 3312, 2615, 2153, 4142, 5235, 3163, 4793, 1416, 4203, 2523, 238, 1892, 167, 1434, 1240, 3542, 3856, 4008, 390, 1993, 5366, 1494, 5309, 4876, 3467, 4351]",360,131,5,False
17,human individual,human individual,29,True,True,True,"{27: 3, 13: 6, 38: 12, 35: 10, 7: 3, 45: 2, 29: 22, 26: 6, 39: 4, 25: 6, 44: 5, 18: 1, 15: 1, 24: 12, 41: 2, 21: 2, 5: 3, 28: 6, 17: 2, 2: 3, 4: 1, 9: 1, 20: 1, 8: 2, 49: 1, 40: 1, 23: 2, 33: 4, 34: 1, 32: 3, 36: 1, 11: 2}","[365, 353, 2801, 2313, 4363, 3055, 466, 5179, 4620, 922, 1488, 3354, 1490, 872, 280, 265, 3837, 2759, 5068, 1765, 2589, 1272, 2677, 4079, 926, 4931, 1511, 989, 3357, 999, 2993, 4192, 5431, 5121, 5175, 2470, 2867, 1374, 5434, 4983, 5381, 4304, 3235, 2126, 1748, 3628, 3439, 1615, 5008, 4767, 3479, 862, 3772, 522, 5242, 980, 4258, 3229, 787, 4436, 3886, 4934, 1882, 5154, 3111, 1353, 1329, 299, 1286, 1212, 1588, 4679, 4669, 3495, 1902, 1362, 2606, 5310, 2142, 3632, 1053, 2593, 2740, 2107, 1110, 4029, 5045, 3603, 3962, 2979, 3204, 4830, 774, 3892, 3218, 893, 666, 932, 5118, 1568, 3523, 887, 4114, 3364, 3066, 3312, 2615, 2153, 4142, 5235, 3163, 4793, 1416, 4203, 2523, 238, 1892, 167, 1434, 1240, 3542, 3856, 4008, 390, 1993, 5366, 1494, 5309, 4876, 3467, 4351]",17,131,5,False
361,entity word,description definition,24,True,False,True,"{27: 3, 13: 6, 38: 12, 35: 10, 7: 3, 45: 2, 29: 22, 26: 6, 39: 4, 25: 6, 44: 5, 18: 1, 15: 1, 24: 12, 41: 2, 21: 2, 5: 3, 28: 6, 17: 2, 2: 3, 4: 1, 9: 1, 20: 1, 8: 2, 49: 1, 40: 1, 23: 2, 33: 4, 34: 1, 32: 3, 36: 1, 11: 2}","[365, 353, 2801, 2313, 4363, 3055, 466, 5179, 4620, 922, 1488, 3354, 1490, 872, 280, 265, 3837, 2759, 5068, 1765, 2589, 1272, 2677, 4079, 926, 4931, 1511, 989, 3357, 999, 2993, 4192, 5431, 5121, 5175, 2470, 2867, 1374, 5434, 4983, 5381, 4304, 3235, 2126, 1748, 3628, 3439, 1615, 5008, 4767, 3479, 862, 3772, 522, 5242, 980, 4258, 3229, 787, 4436, 3886, 4934, 1882, 5154, 3111, 1353, 1329, 299, 1286, 1212, 1588, 4679, 4669, 3495, 1902, 1362, 2606, 5310, 2142, 3632, 1053, 2593, 2740, 2107, 1110, 4029, 5045, 3603, 3962, 2979, 3204, 4830, 774, 3892, 3218, 893, 666, 932, 5118, 1568, 3523, 887, 4114, 3364, 3066, 3312, 2615, 2153, 4142, 5235, 3163, 4793, 1416, 4203, 2523, 238, 1892, 167, 1434, 1240, 3542, 3856, 4008, 390, 1993, 5366, 1494, 5309, 4876, 3467, 4351]",361,131,5,False
411,entity food,entity subst,18,True,False,True,"{27: 3, 13: 6, 38: 12, 35: 10, 7: 3, 45: 2, 29: 22, 26: 6, 39: 4, 25: 6, 44: 5, 18: 1, 15: 1, 24: 12, 41: 2, 21: 2, 5: 3, 28: 6, 17: 2, 2: 3, 4: 1, 9: 1, 20: 1, 8: 2, 49: 1, 40: 1, 23: 2, 33: 4, 34: 1, 32: 3, 36: 1, 11: 2}","[365, 353, 2801, 2313, 4363, 3055, 466, 5179, 4620, 922, 1488, 3354, 1490, 872, 280, 265, 3837, 2759, 5068, 1765, 2589, 1272, 2677, 4079, 926, 4931, 1511, 989, 3357, 999, 2993, 4192, 5431, 5121, 5175, 2470, 2867, 1374, 5434, 4983, 5381, 4304, 3235, 2126, 1748, 3628, 3439, 1615, 5008, 4767, 3479, 862, 3772, 522, 5242, 980, 4258, 3229, 787, 4436, 3886, 4934, 1882, 5154, 3111, 1353, 1329, 299, 1286, 1212, 1588, 4679, 4669, 3495, 1902, 1362, 2606, 5310, 2142, 3632, 1053, 2593, 2740, 2107, 1110, 4029, 5045, 3603, 3962, 2979, 3204, 4830, 774, 3892, 3218, 893, 666, 932, 5118, 1568, 3523, 887, 4114, 3364, 3066, 3312, 2615, 2153, 4142, 5235, 3163, 4793, 1416, 4203, 2523, 238, 1892, 167, 1434, 1240, 3542, 3856, 4008, 390, 1993, 5366, 1494, 5309, 4876, 3467, 4351]",411,131,5,False
67,description definition,description definition,24,True,True,True,"{27: 3, 13: 6, 38: 12, 35: 10, 7: 3, 45: 2, 29: 22, 26: 6, 39: 4, 25: 6, 44: 5, 18: 1, 15: 1, 24: 12, 41: 2, 21: 2, 5: 3, 28: 6, 17: 2, 2: 3, 4: 1, 9: 1, 20: 1, 8: 2, 49: 1, 40: 1, 23: 2, 33: 4, 34: 1, 32: 3, 36: 1, 11: 2}","[365, 353, 2801, 2313, 4363, 3055, 466, 5179, 4620, 922, 1488, 3354, 1490, 872, 280, 265, 3837, 2759, 5068, 1765, 2589, 1272, 2677, 4079, 926, 4931, 1511, 989, 3357, 999, 2993, 4192, 5431, 5121, 5175, 2470, 2867, 1374, 5434, 4983, 5381, 4304, 3235, 2126, 1748, 3628, 3439, 1615, 5008, 4767, 3479, 862, 3772, 522, 5242, 980, 4258, 3229, 787, 4436, 3886, 4934, 1882, 5154, 3111, 1353, 1329, 299, 1286, 1212, 1588, 4679, 4669, 3495, 1902, 1362, 2606, 5310, 2142, 3632, 1053, 2593, 2740, 2107, 1110, 4029, 5045, 3603, 3962, 2979, 3204, 4830, 774, 3892, 3218, 893, 666, 932, 5118, 1568, 3523, 887, 4114, 3364, 3066, 3312, 2615, 2153, 4142, 5235, 3163, 4793, 1416, 4203, 2523, 238, 1892, 167, 1434, 1240, 3542, 3856, 4008, 390, 1993, 5366, 1494, 5309, 4876, 3467, 4351]",67,131,5,False
425,location other,entity other,13,True,False,True,"{27: 3, 13: 6, 38: 12, 35: 10, 7: 3, 45: 2, 29: 22, 26: 6, 39: 4, 25: 6, 44: 5, 18: 1, 15: 1, 24: 12, 41: 2, 21: 2, 5: 3, 28: 6, 17: 2, 2: 3, 4: 1, 9: 1, 20: 1, 8: 2, 49: 1, 40: 1, 23: 2, 33: 4, 34: 1, 32: 3, 36: 1, 11: 2}","[365, 353, 2801, 2313, 4363, 3055, 466, 5179, 4620, 922, 1488, 3354, 1490, 872, 280, 265, 3837, 2759, 5068, 1765, 2589, 1272, 2677, 4079, 926, 4931, 1511, 989, 3357, 999, 2993, 4192, 5431, 5121, 5175, 2470, 2867, 1374, 5434, 4983, 5381, 4304, 3235, 2126, 1748, 3628, 3439, 1615, 5008, 4767, 3479, 862, 3772, 522, 5242, 980, 4258, 3229, 787, 4436, 3886, 4934, 1882, 5154, 3111, 1353, 1329, 299, 1286, 1212, 1588, 4679, 4669, 3495, 1902, 1362, 2606, 5310, 2142, 3632, 1053, 2593, 2740, 2107, 1110, 4029, 5045, 3603, 3962, 2979, 3204, 4830, 774, 3892, 3218, 893, 666, 932, 5118, 1568, 3523, 887, 4114, 3364, 3066, 3312, 2615, 2153, 4142, 5235, 3163, 4793, 1416, 4203, 2523, 238, 1892, 167, 1434, 1240, 3542, 3856, 4008, 390, 1993, 5366, 1494, 5309, 4876, 3467, 4351]",425,131,5,False
104,location country,location city,32,True,False,True,"{27: 3, 13: 6, 38: 12, 35: 10, 7: 3, 45: 2, 29: 22, 26: 6, 39: 4, 25: 6, 44: 5, 18: 1, 15: 1, 24: 12, 41: 2, 21: 2, 5: 3, 28: 6, 17: 2, 2: 3, 4: 1, 9: 1, 20: 1, 8: 2, 49: 1, 40: 1, 23: 2, 33: 4, 34: 1, 32: 3, 36: 1, 11: 2}","[365, 353, 2801, 2313, 4363, 3055, 466, 5179, 4620, 922, 1488, 3354, 1490, 872, 280, 265, 3837, 2759, 5068, 1765, 2589, 1272, 2677, 4079, 926, 4931, 1511, 989, 3357, 999, 2993, 4192, 5431, 5121, 5175, 2470, 2867, 1374, 5434, 4983, 5381, 4304, 3235, 2126, 1748, 3628, 3439, 1615, 5008, 4767, 3479, 862, 3772, 522, 5242, 980, 4258, 3229, 787, 4436, 3886, 4934, 1882, 5154, 3111, 1353, 1329, 299, 1286, 1212, 1588, 4679, 4669, 3495, 1902, 1362, 2606, 5310, 2142, 3632, 1053, 2593, 2740, 2107, 1110, 4029, 5045, 3603, 3962, 2979, 3204, 4830, 774, 3892, 3218, 893, 666, 932, 5118, 1568, 3523, 887, 4114, 3364, 3066, 3312, 2615, 2153, 4142, 5235, 3163, 4793, 1416, 4203, 2523, 238, 1892, 167, 1434, 1240, 3542, 3856, 4008, 390, 1993, 5366, 1494, 5309, 4876, 3467, 4351]",104,131,5,False
394,description definition,description definition,24,True,True,True,"{27: 3, 13: 6, 38: 12, 35: 10, 7: 3, 45: 2, 29: 22, 26: 6, 39: 4, 25: 6, 44: 5, 18: 1, 15: 1, 24: 12, 41: 2, 21: 2, 5: 3, 28: 6, 17: 2, 2: 3, 4: 1, 9: 1, 20: 1, 8: 2, 49: 1, 40: 1, 23: 2, 33: 4, 34: 1, 32: 3, 36: 1, 11: 2}","[365, 353, 2801, 2313, 4363, 3055, 466, 5179, 4620, 922, 1488, 3354, 1490, 872, 280, 265, 3837, 2759, 5068, 1765, 2589, 1272, 2677, 4079, 926, 4931, 1511, 989, 3357, 999, 2993, 4192, 5431, 5121, 5175, 2470, 2867, 1374, 5434, 4983, 5381, 4304, 3235, 2126, 1748, 3628, 3439, 1615, 5008, 4767, 3479, 862, 3772, 522, 5242, 980, 4258, 3229, 787, 4436, 3886, 4934, 1882, 5154, 3111, 1353, 1329, 299, 1286, 1212, 1588, 4679, 4669, 3495, 1902, 1362, 2606, 5310, 2142, 3632, 1053, 2593, 2740, 2107, 1110, 4029, 5045, 3603, 3962, 2979, 3204, 4830, 774, 3892, 3218, 893, 666, 932, 5118, 1568, 3523, 887, 4114, 3364, 3066, 3312, 2615, 2153, 4142, 5235, 3163, 4793, 1416, 4203, 2523, 238, 1892, 167, 1434, 1240, 3542, 3856, 4008, 390, 1993, 5366, 1494, 5309, 4876, 3467, 4351]",394,131,5,False
450,entity color,entity color,4,True,True,True,"{27: 3, 13: 6, 38: 12, 35: 10, 7: 3, 45: 2, 29: 22, 26: 6, 39: 4, 25: 6, 44: 5, 18: 1, 15: 1, 24: 12, 41: 2, 21: 2, 5: 3, 28: 6, 17: 2, 2: 3, 4: 1, 9: 1, 20: 1, 8: 2, 49: 1, 40: 1, 23: 2, 33: 4, 34: 1, 32: 3, 36: 1, 11: 2}","[365, 353, 2801, 2313, 4363, 3055, 466, 5179, 4620, 922, 1488, 3354, 1490, 872, 280, 265, 3837, 2759, 5068, 1765, 2589, 1272, 2677, 4079, 926, 4931, 1511, 989, 3357, 999, 2993, 4192, 5431, 5121, 5175, 2470, 2867, 1374, 5434, 4983, 5381, 4304, 3235, 2126, 1748, 3628, 3439, 1615, 5008, 4767, 3479, 862, 3772, 522, 5242, 980, 4258, 3229, 787, 4436, 3886, 4934, 1882, 5154, 3111, 1353, 1329, 299, 1286, 1212, 1588, 4679, 4669, 3495, 1902, 1362, 2606, 5310, 2142, 3632, 1053, 2593, 2740, 2107, 1110, 4029, 5045, 3603, 3962, 2979, 3204, 4830, 774, 3892, 3218, 893, 666, 932, 5118, 1568, 3523, 887, 4114, 3364, 3066, 3312, 2615, 2153, 4142, 5235, 3163, 4793, 1416, 4203, 2523, 238, 1892, 167, 1434, 1240, 3542, 3856, 4008, 390, 1993, 5366, 1494, 5309, 4876, 3467, 4351]",450,131,5,False
141,entity animal,entity animal,2,True,True,True,"{27: 3, 13: 6, 38: 12, 35: 10, 7: 3, 45: 2, 29: 22, 26: 6, 39: 4, 25: 6, 44: 5, 18: 1, 15: 1, 24: 12, 41: 2, 21: 2, 5: 3, 28: 6, 17: 2, 2: 3, 4: 1, 9: 1, 20: 1, 8: 2, 49: 1, 40: 1, 23: 2, 33: 4, 34: 1, 32: 3, 36: 1, 11: 2}","[365, 353, 2801, 2313, 4363, 3055, 466, 5179, 4620, 922, 1488, 3354, 1490, 872, 280, 265, 3837, 2759, 5068, 1765, 2589, 1272, 2677, 4079, 926, 4931, 1511, 989, 3357, 999, 2993, 4192, 5431, 5121, 5175, 2470, 2867, 1374, 5434, 4983, 5381, 4304, 3235, 2126, 1748, 3628, 3439, 1615, 5008, 4767, 3479, 862, 3772, 522, 5242, 980, 4258, 3229, 787, 4436, 3886, 4934, 1882, 5154, 3111, 1353, 1329, 299, 1286, 1212, 1588, 4679, 4669, 3495, 1902, 1362, 2606, 5310, 2142, 3632, 1053, 2593, 2740, 2107, 1110, 4029, 5045, 3603, 3962, 2979, 3204, 4830, 774, 3892, 3218, 893, 666, 932, 5118, 1568, 3523, 887, 4114, 3364, 3066, 3312, 2615, 2153, 4142, 5235, 3163, 4793, 1416, 4203, 2523, 238, 1892, 167, 1434, 1240, 3542, 3856, 4008, 390, 1993, 5366, 1494, 5309, 4876, 3467, 4351]",141,131,5,False
