,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
889,general repeat,email query,16,False,False,True,{28: 1},[6716],889,1,9,False
2700,general repeat,recommendation,56,False,False,True,{28: 1},[6716],2700,1,9,False
2458,general repeat,music li,42,False,False,True,{28: 1},[6716],2458,1,9,False
1000,general repeat,recommendation,56,False,False,True,{28: 1},[6716],1000,1,9,False
2395,general repeat,qa currency,51,False,False,True,{28: 1},[6716],2395,1,9,False
1922,general repeat,general explain,22,False,False,True,{28: 1},[6716],1922,1,9,False
1202,general repeat,music li,42,False,False,True,{28: 1},[6716],1202,1,9,False
1988,play podcasts,play pod,49,False,True,False,{28: 1},[6716],1988,1,9,False
1107,general repeat,calendar set,9,False,False,True,{28: 1},[6716],1107,1,9,False
2728,general repeat,calendar query,7,False,False,True,{28: 1},[6716],2728,1,9,False
1567,general repeat,qa stock,55,False,False,True,{28: 1},[6716],1567,1,9,False
2506,general repeat,qa currency,51,False,False,True,{28: 1},[6716],2506,1,9,False
2608,general repeat,lists,40,False,False,True,{28: 1},[6716],2608,1,9,False
2618,general repeat,general neg,25,False,False,True,{28: 1},[6716],2618,1,9,False
2787,general repeat,email s,17,False,False,True,{28: 1},[6716],2787,1,9,False
1625,general repeat,play audio,46,False,False,True,{28: 1},[6716],1625,1,9,False
1638,general repeat,audio,4,False,False,True,{28: 1},[6716],1638,1,9,False
2740,general repeat,qa stock,55,False,False,True,{28: 1},[6716],2740,1,9,False
966,general repeat,general neg,25,False,False,True,{28: 1},[6716],966,1,9,False
891,general repeat,general neg,25,False,False,True,{28: 1},[6716],891,1,9,False
1349,general repeat,iot hue light change,31,False,False,True,{28: 1},[6716],1349,1,9,False
1748,general repeat,general repeat,28,True,True,True,{28: 1},[6716],1748,1,9,False
2615,general repeat,play audio,46,False,False,True,{28: 1},[6716],2615,1,9,False
2782,general repeat,play radio,50,False,False,True,{28: 1},[6716],2782,1,9,False
1383,general repeat,email s,17,False,False,True,{28: 1},[6716],1383,1,9,False
270,general repeat,play pod,49,False,False,True,{28: 1},[6716],270,1,9,False
2407,general repeat,general neg,25,False,False,True,{28: 1},[6716],2407,1,9,False
1793,general repeat,calendar set,9,False,False,True,{28: 1},[6716],1793,1,9,False
675,general repeat,qa stock,55,False,False,True,{28: 1},[6716],675,1,9,False
498,general repeat,calendar set,9,False,False,True,{28: 1},[6716],498,1,9,False
2414,play audiobook,play audio,46,False,True,False,{28: 1},[6716],2414,1,9,False
2790,general repeat,qa currency,51,False,False,True,{28: 1},[6716],2790,1,9,False
2877,general repeat,calendar set,9,False,False,True,{28: 1},[6716],2877,1,9,False
68,general repeat,general neg,25,False,False,True,{28: 1},[6716],68,1,9,False
2919,general repeat,lists,40,False,False,True,{28: 1},[6716],2919,1,9,False
1624,general repeat,general repeat,28,True,True,True,{28: 1},[6716],1624,1,9,False
915,general repeat,calendar set,9,False,False,True,{28: 1},[6716],915,1,9,False
2951,general repeat,iot hue light change,31,False,False,True,{28: 1},[6716],2951,1,9,False
2894,general repeat,calendar set,9,False,False,True,{28: 1},[6716],2894,1,9,False
774,general repeat,qa stock,55,False,False,True,{28: 1},[6716],774,1,9,False
2485,general repeat,general neg,25,False,False,True,{28: 1},[6716],2485,1,9,False
2300,general repeat,lists,40,False,False,True,{28: 1},[6716],2300,1,9,False
1818,general repeat,datetime,13,False,False,True,{28: 1},[6716],1818,1,9,False
956,general repeat,general explain,22,False,False,True,{28: 1},[6716],956,1,9,False
2321,general repeat,calendar query,7,False,False,True,{28: 1},[6716],2321,1,9,False
2438,general repeat,general repeat,28,True,True,True,{28: 1},[6716],2438,1,9,False
2907,general repeat,general repeat,28,True,True,True,{28: 1},[6716],2907,1,9,False
427,general repeat,general command,19,False,False,True,{28: 1},[6716],427,1,9,False
2273,general repeat,email query,16,False,False,True,{28: 1},[6716],2273,1,9,False
1910,general repeat,calendar query,7,False,False,True,{28: 1},[6716],1910,1,9,False
1022,general repeat,lists,40,False,False,True,{28: 1},[6716],1022,1,9,False
1835,general repeat,datetime,13,False,False,True,{28: 1},[6716],1835,1,9,False
2624,general repeat,recommendation,56,False,False,True,{28: 1},[6716],2624,1,9,False
1136,general repeat,email s,17,False,False,True,{28: 1},[6716],1136,1,9,False
260,general repeat,iot clean,29,False,False,True,{28: 1},[6716],260,1,9,False
18,general repeat,qa currency,51,False,False,True,{28: 1},[6716],18,1,9,False
2443,general repeat,email add,14,False,False,True,{28: 1},[6716],2443,1,9,False
234,general repeat,datetime,13,False,False,True,{28: 1},[6716],234,1,9,False
1035,general repeat,general neg,25,False,False,True,{28: 1},[6716],1035,1,9,False
2559,general repeat,music query,43,False,False,True,{28: 1},[6716],2559,1,9,False
1472,general repeat,general confirm,20,False,False,True,{28: 1},[6716],1472,1,9,False
1579,general repeat,general explain,22,False,False,True,{28: 1},[6716],1579,1,9,False
238,general repeat,general command,19,False,False,True,{28: 1},[6716],238,1,9,False
1669,general repeat,calendar set,9,False,False,True,{28: 1},[6716],1669,1,9,False
406,general repeat,email query,16,False,False,True,{28: 1},[6716],406,1,9,False
2956,general repeat,calendar set,9,False,False,True,{28: 1},[6716],2956,1,9,False
1778,general repeat,email s,17,False,False,True,{28: 1},[6716],1778,1,9,False
901,general repeat,qa currency,51,False,False,True,{28: 1},[6716],901,1,9,False
1517,general repeat,play audio,46,False,False,True,{28: 1},[6716],1517,1,9,False
1884,general repeat,general neg,25,False,False,True,{28: 1},[6716],1884,1,9,False
2047,general repeat,general neg,25,False,False,True,{28: 1},[6716],2047,1,9,False
1849,alarm query,alarm,0,False,True,False,{28: 1},[6716],1849,1,9,False
2675,general repeat,calendar set,9,False,False,True,{28: 1},[6716],2675,1,9,False
2629,general repeat,play pod,49,False,False,True,{28: 1},[6716],2629,1,9,False
751,general repeat,recommendation,56,False,False,True,{28: 1},[6716],751,1,9,False
1569,general repeat,play radio,50,False,False,True,{28: 1},[6716],1569,1,9,False
756,general repeat,iot hue light change,31,False,False,True,{28: 1},[6716],756,1,9,False
1951,general repeat,qa math,54,False,False,True,{28: 1},[6716],1951,1,9,False
2348,general repeat,email query,16,False,False,True,{28: 1},[6716],2348,1,9,False
