,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
13005,na,na,na,True,True,True,{'na': 1},[33427],13005,1,2,False
13881,na,organization top,organization top members or employees,False,False,True,{'na': 1},[33427],13881,1,2,False
8000,na,na,na,True,True,True,{'na': 1},[33427],8000,1,2,False
15210,na,person sib,person siblings,False,False,True,{'na': 1},[33427],15210,1,2,False
7432,na,na,na,True,True,True,{'na': 1},[33427],7432,1,2,False
2785,na,na,na,True,True,True,{'na': 1},[33427],2785,1,2,False
11677,na,na,na,True,True,True,{'na': 1},[33427],11677,1,2,False
6929,na,na,na,True,True,True,{'na': 1},[33427],6929,1,2,False
7143,na,na,na,True,True,True,{'na': 1},[33427],7143,1,2,False
12405,na,na,na,True,True,True,{'na': 1},[33427],12405,1,2,False
1677,na,na,na,True,True,True,{'na': 1},[33427],1677,1,2,False
2872,na,na,na,True,True,True,{'na': 1},[33427],2872,1,2,False
13474,na,organization parents,organization parents,False,False,True,{'na': 1},[33427],13474,1,2,False
5391,na,na,na,True,True,True,{'na': 1},[33427],5391,1,2,False
14781,na,person title,person title,False,False,True,{'na': 1},[33427],14781,1,2,False
13767,na,organization top,organization top members or employees,False,False,True,{'na': 1},[33427],13767,1,2,False
4670,na,na,na,True,True,True,{'na': 1},[33427],4670,1,2,False
343,na,person age,person age,False,False,True,{'na': 1},[33427],343,1,2,False
6853,na,na,na,True,True,True,{'na': 1},[33427],6853,1,2,False
7373,na,na,na,True,True,True,{'na': 1},[33427],7373,1,2,False
6965,na,na,na,True,True,True,{'na': 1},[33427],6965,1,2,False
8391,na,na,na,True,True,True,{'na': 1},[33427],8391,1,2,False
2539,na,na,na,True,True,True,{'na': 1},[33427],2539,1,2,False
14078,na,organization alternate,organization alternate names,False,False,True,{'na': 1},[33427],14078,1,2,False
14670,na,person title,person title,False,False,True,{'na': 1},[33427],14670,1,2,False
3983,na,na,na,True,True,True,{'na': 1},[33427],3983,1,2,False
9758,na,na,na,True,True,True,{'na': 1},[33427],9758,1,2,False
2760,na,na,na,True,True,True,{'na': 1},[33427],2760,1,2,False
2670,na,na,na,True,True,True,{'na': 1},[33427],2670,1,2,False
3175,na,na,na,True,True,True,{'na': 1},[33427],3175,1,2,False
14456,na,person origin,person origin,False,False,True,{'na': 1},[33427],14456,1,2,False
858,na,person cities,person cities of residence,False,False,True,{'na': 1},[33427],858,1,2,False
6211,na,na,na,True,True,True,{'na': 1},[33427],6211,1,2,False
15099,na,organization country,organization country of headquarters,False,False,True,{'na': 1},[33427],15099,1,2,False
2891,na,na,na,True,True,True,{'na': 1},[33427],2891,1,2,False
1785,na,na,na,True,True,True,{'na': 1},[33427],1785,1,2,False
14958,na,person title,person title,False,False,True,{'na': 1},[33427],14958,1,2,False
12198,na,na,na,True,True,True,{'na': 1},[33427],12198,1,2,False
15254,na,organization state,organization state or province of headquarters,False,False,True,{'na': 1},[33427],15254,1,2,False
3319,na,na,na,True,True,True,{'na': 1},[33427],3319,1,2,False
2900,na,na,na,True,True,True,{'na': 1},[33427],2900,1,2,False
9109,na,na,na,True,True,True,{'na': 1},[33427],9109,1,2,False
10607,na,na,na,True,True,True,{'na': 1},[33427],10607,1,2,False
9328,person other family,na,na,True,False,False,{'na': 1},[33427],9328,1,2,False
14837,na,person title,person title,False,False,True,{'na': 1},[33427],14837,1,2,False
15483,na,organization founded by,organization founded by,False,False,True,{'na': 1},[33427],15483,1,2,False
3049,na,na,na,True,True,True,{'na': 1},[33427],3049,1,2,False
3434,na,na,na,True,True,True,{'na': 1},[33427],3434,1,2,False
3440,na,na,na,True,True,True,{'na': 1},[33427],3440,1,2,False
6635,na,na,na,True,True,True,{'na': 1},[33427],6635,1,2,False
1718,na,na,na,True,True,True,{'na': 1},[33427],1718,1,2,False
14875,na,person title,person title,False,False,True,{'na': 1},[33427],14875,1,2,False
10226,na,na,na,True,True,True,{'na': 1},[33427],10226,1,2,False
7343,na,na,na,True,True,True,{'na': 1},[33427],7343,1,2,False
1109,na,person employee,person employee of,False,False,True,{'na': 1},[33427],1109,1,2,False
2457,na,na,na,True,True,True,{'na': 1},[33427],2457,1,2,False
11703,na,na,na,True,True,True,{'na': 1},[33427],11703,1,2,False
7135,na,na,na,True,True,True,{'na': 1},[33427],7135,1,2,False
423,na,person charges,person charges,False,False,True,{'na': 1},[33427],423,1,2,False
8108,na,na,na,True,True,True,{'na': 1},[33427],8108,1,2,False
12923,na,na,na,True,True,True,{'na': 1},[33427],12923,1,2,False
10264,na,na,na,True,True,True,{'na': 1},[33427],10264,1,2,False
8698,na,na,na,True,True,True,{'na': 1},[33427],8698,1,2,False
12760,na,na,na,True,True,True,{'na': 1},[33427],12760,1,2,False
4478,na,na,na,True,True,True,{'na': 1},[33427],4478,1,2,False
10200,na,na,na,True,True,True,{'na': 1},[33427],10200,1,2,False
234,na,person age,person age,False,False,True,{'na': 1},[33427],234,1,2,False
15499,na,organization founded by,organization founded by,False,False,True,{'na': 1},[33427],15499,1,2,False
2710,na,na,na,True,True,True,{'na': 1},[33427],2710,1,2,False
2320,na,na,na,True,True,True,{'na': 1},[33427],2320,1,2,False
1124,na,person employee,person employee of,False,False,True,{'na': 1},[33427],1124,1,2,False
9247,na,na,na,True,True,True,{'na': 1},[33427],9247,1,2,False
5666,na,na,na,True,True,True,{'na': 1},[33427],5666,1,2,False
1571,na,na,na,True,True,True,{'na': 1},[33427],1571,1,2,False
6405,na,na,na,True,True,True,{'na': 1},[33427],6405,1,2,False
12166,na,na,na,True,True,True,{'na': 1},[33427],12166,1,2,False
1552,na,na,na,True,True,True,{'na': 1},[33427],1552,1,2,False
10940,na,na,na,True,True,True,{'na': 1},[33427],10940,1,2,False
8549,na,na,na,True,True,True,{'na': 1},[33427],8549,1,2,False
9529,na,na,na,True,True,True,{'na': 1},[33427],9529,1,2,False
5018,na,na,na,True,True,True,{'na': 1},[33427],5018,1,2,False
1650,na,na,na,True,True,True,{'na': 1},[33427],1650,1,2,False
10531,na,na,na,True,True,True,{'na': 1},[33427],10531,1,2,False
6580,na,na,na,True,True,True,{'na': 1},[33427],6580,1,2,False
591,na,person countries,person countries of residence,False,False,True,{'na': 1},[33427],591,1,2,False
8453,na,na,na,True,True,True,{'na': 1},[33427],8453,1,2,False
2674,na,na,na,True,True,True,{'na': 1},[33427],2674,1,2,False
1508,na,na,na,True,True,True,{'na': 1},[33427],1508,1,2,False
15507,na,organization founded by,organization founded by,False,False,True,{'na': 1},[33427],15507,1,2,False
