,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
360,description reason,description definition,24,False,False,True,{27: 1},[365],360,1,5,False
17,description reason,human individual,29,False,False,True,{27: 1},[365],17,1,5,False
361,description reason,description definition,24,False,False,True,{27: 1},[365],361,1,5,False
411,description reason,entity subst,18,False,False,True,{27: 1},[365],411,1,5,False
67,description reason,description definition,24,False,False,True,{27: 1},[365],67,1,5,False
425,description reason,entity other,13,False,False,True,{27: 1},[365],425,1,5,False
104,location country,location city,32,False,False,False,{27: 1},[365],104,1,5,False
394,description reason,description definition,24,False,False,True,{27: 1},[365],394,1,5,False
450,description reason,entity color,4,False,False,True,{27: 1},[365],450,1,5,False
141,description reason,entity animal,2,False,False,True,{27: 1},[365],141,1,5,False
142,location country,location other,35,False,False,False,{27: 1},[365],142,1,5,False
269,description reason,description manner,26,False,False,True,{27: 1},[365],269,1,5,False
173,description reason,description definition,24,False,False,True,{27: 1},[365],173,1,5,False
238,location country,location other,35,False,False,False,{27: 1},[365],238,1,5,False
55,description reason,description definition,24,False,False,True,{27: 1},[365],55,1,5,False
121,description reason,numeric distance,40,False,False,True,{27: 1},[365],121,1,5,False
260,description reason,human individual,29,False,False,True,{27: 1},[365],260,1,5,False
62,location country,location other,35,False,False,False,{27: 1},[365],62,1,5,False
185,description reason,human individual,29,False,False,True,{27: 1},[365],185,1,5,False
429,description reason,human individual,29,False,False,True,{27: 1},[365],429,1,5,False
97,description reason,description definition,24,False,False,True,{27: 1},[365],97,1,5,False
340,description reason,numeric weight,49,False,False,True,{27: 1},[365],340,1,5,False
496,description reason,entity currency,6,False,False,True,{27: 1},[365],496,1,5,False
183,description reason,description definition,24,False,False,True,{27: 1},[365],183,1,5,False
393,description reason,numeric other,43,False,False,True,{27: 1},[365],393,1,5,False
15,description reason,numeric other,43,False,False,True,{27: 1},[365],15,1,5,False
162,description reason,numeric date,39,False,False,True,{27: 1},[365],162,1,5,False
481,description reason,entity subst,18,False,False,True,{27: 1},[365],481,1,5,False
332,description reason,entity animal,2,False,False,True,{27: 1},[365],332,1,5,False
251,description reason,location city,32,False,False,True,{27: 1},[365],251,1,5,False
305,location country,location other,35,False,False,False,{27: 1},[365],305,1,5,False
169,description reason,human individual,29,False,False,True,{27: 1},[365],169,1,5,False
249,description reason,entity other,13,False,False,True,{27: 1},[365],249,1,5,False
143,description reason,entity animal,2,False,False,True,{27: 1},[365],143,1,5,False
396,description reason,description definition,24,False,False,True,{27: 1},[365],396,1,5,False
71,description reason,numeric money,41,False,False,True,{27: 1},[365],71,1,5,False
168,description reason,location state,36,False,False,True,{27: 1},[365],168,1,5,False
199,description reason,entity subst,18,False,False,True,{27: 1},[365],199,1,5,False
366,description reason,entity color,4,False,False,True,{27: 1},[365],366,1,5,False
464,location state,location state,36,False,True,False,{27: 1},[365],464,1,5,False
318,description reason,entity other,13,False,False,True,{27: 1},[365],318,1,5,False
242,description reason,description reason,27,True,True,True,{27: 1},[365],242,1,5,False
69,description reason,location other,35,False,False,True,{27: 1},[365],69,1,5,False
271,description reason,description description,25,False,False,True,{27: 1},[365],271,1,5,False
145,description reason,entity body,3,False,False,True,{27: 1},[365],145,1,5,False
379,description reason,description definition,24,False,False,True,{27: 1},[365],379,1,5,False
398,description reason,numeric percent,45,False,False,True,{27: 1},[365],398,1,5,False
38,description reason,numeric count,38,False,False,True,{27: 1},[365],38,1,5,False
20,description reason,human individual,29,False,False,True,{27: 1},[365],20,1,5,False
160,description reason,description definition,24,False,False,True,{27: 1},[365],160,1,5,False
194,description reason,description definition,24,False,False,True,{27: 1},[365],194,1,5,False
485,description reason,description definition,24,False,False,True,{27: 1},[365],485,1,5,False
293,description reason,entity term,21,False,False,True,{27: 1},[365],293,1,5,False
237,description reason,description definition,24,False,False,True,{27: 1},[365],237,1,5,False
60,description reason,location city,32,False,False,True,{27: 1},[365],60,1,5,False
