,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
903,exchange rate,supported,54,False,False,False,{76: 1},[8548],903,1,5,False
1003,top up failed,top up revert,61,False,False,False,{76: 1},[8548],1003,1,5,False
2953,card about to expire,card about,9,False,True,False,{76: 1},[8548],2953,1,5,False
2979,apple pay or google pay,apple,2,False,True,False,{76: 1},[8548],2979,1,5,False
1926,get physical card,card sw,18,False,False,False,{76: 1},[8548],1926,1,5,False
2137,change pin,change,21,False,True,False,{76: 1},[8548],2137,1,5,False
2980,top up by card charge,apple,2,False,False,False,{76: 1},[8548],2980,1,5,False
702,cancel transfer,cancel,8,False,True,False,{76: 1},[8548],702,1,5,False
2493,get physical card,order,43,False,False,False,{76: 1},[8548],2493,1,5,False
2210,transfer fee charged,transfer fee,64,False,True,False,{76: 1},[8548],2210,1,5,False
112,exchange rate,exchange rate,32,False,True,False,{76: 1},[8548],112,1,5,False
2909,wrong exchange rate for cash withdrawal,cash withdrawal charge,19,False,False,False,{76: 1},[8548],2909,1,5,False
1987,card not working,transaction,63,False,False,False,{76: 1},[8548],1987,1,5,False
1283,topping up by card,vis,73,False,False,False,{76: 1},[8548],1283,1,5,False
1539,passcode forgotten,pass,44,False,True,False,{76: 1},[8548],1539,1,5,False
2879,activate my card,activ,0,False,True,False,{76: 1},[8548],2879,1,5,False
1158,change pin,edit,30,False,False,False,{76: 1},[8548],1158,1,5,False
1376,card not working,dispos,29,False,False,False,{76: 1},[8548],1376,1,5,False
1517,wrong amount of cash received,direct,28,False,False,False,{76: 1},[8548],1517,1,5,False
1171,verify my identity,why,74,False,False,False,{76: 1},[8548],1171,1,5,False
2242,topping up by card,receiving,50,False,False,False,{76: 1},[8548],2242,1,5,False
1476,atm support,at,3,False,True,False,{76: 1},[8548],1476,1,5,False
237,atm support,pending c,46,False,False,False,{76: 1},[8548],237,1,5,False
1650,lost or stolen phone,lost or stolen phone,42,False,True,False,{76: 1},[8548],1650,1,5,False
2484,card payment fee charged,order,43,False,False,False,{76: 1},[8548],2484,1,5,False
2105,cancel transfer,revert,53,False,False,False,{76: 1},[8548],2105,1,5,False
2121,change pin,change,21,False,True,False,{76: 1},[8548],2121,1,5,False
1452,atm support,at,3,False,True,False,{76: 1},[8548],1452,1,5,False
274,topping up by card,fi,36,False,False,False,{76: 1},[8548],274,1,5,False
564,contactless not working,contact,23,False,True,False,{76: 1},[8548],564,1,5,False
905,card payment not recognised,supported,54,False,False,False,{76: 1},[8548],905,1,5,False
1535,passcode forgotten,pass,44,False,True,False,{76: 1},[8548],1535,1,5,False
2113,cancel transfer,revert,53,False,False,False,{76: 1},[8548],2113,1,5,False
2142,change pin,change,21,False,True,False,{76: 1},[8548],2142,1,5,False
2965,top up by card charge,apple,2,False,False,False,{76: 1},[8548],2965,1,5,False
1834,card payment not recognised,declined card,25,False,False,False,{76: 1},[8548],1834,1,5,False
1549,change pin,pass,44,False,False,False,{76: 1},[8548],1549,1,5,False
1320,top up by card charge,to,62,False,False,False,{76: 1},[8548],1320,1,5,False
2421,order physical card,getting spare,39,False,False,False,{76: 1},[8548],2421,1,5,False
2784,exchange rate,exchange charge,31,False,False,False,{76: 1},[8548],2784,1,5,False
768,wrong amount of cash received,wrong amount,75,False,True,False,{76: 1},[8548],768,1,5,False
2472,top up by cash or cheque,top up by c,58,False,True,False,{76: 1},[8548],2472,1,5,False
2154,change pin,change,21,False,True,False,{76: 1},[8548],2154,1,5,False
795,wrong amount of cash received,wrong amount,75,False,True,False,{76: 1},[8548],795,1,5,False
1278,pin blocked,get physical,38,False,False,False,{76: 1},[8548],1278,1,5,False
1494,topping up by card,direct,28,False,False,False,{76: 1},[8548],1494,1,5,False
241,exchange rate,fi,36,False,False,False,{76: 1},[8548],241,1,5,False
3060,topping up by card,country,24,False,False,False,{76: 1},[8548],3060,1,5,False
494,age limit,age,1,False,True,False,{76: 1},[8548],494,1,5,False
327,topping up by card,automatic,4,False,False,False,{76: 1},[8548],327,1,5,False
458,lost or stolen card,lost or stolen card,41,False,True,False,{76: 1},[8548],458,1,5,False
428,exchange rate,exchange via,33,False,False,False,{76: 1},[8548],428,1,5,False
2862,activate my card,activ,0,False,True,False,{76: 1},[8548],2862,1,5,False
2164,transfer not received by recipient,benef,7,False,False,False,{76: 1},[8548],2164,1,5,False
2897,wrong exchange rate for cash withdrawal,cash withdrawal charge,19,False,False,False,{76: 1},[8548],2897,1,5,False
2440,top up by cash or cheque,top up by c,58,False,True,False,{76: 1},[8548],2440,1,5,False
1663,lost or stolen card,lost or stolen phone,42,False,False,False,{76: 1},[8548],1663,1,5,False
2700,transfer not received by recipient,balance not updated after bank,5,False,False,False,{76: 1},[8548],2700,1,5,False
2955,card not working,card about,9,False,False,False,{76: 1},[8548],2955,1,5,False
522,pin blocked,pin,49,False,True,False,{76: 1},[8548],522,1,5,False
1788,topping up by card,Ref,51,False,False,False,{76: 1},[8548],1788,1,5,False
1055,balance not updated after bank transfer,balance not updated after che,6,False,False,False,{76: 1},[8548],1055,1,5,False
2992,top up by card charge,apple,2,False,False,False,{76: 1},[8548],2992,1,5,False
1093,wrong amount of cash received,card payment not,16,False,False,False,{76: 1},[8548],1093,1,5,False
791,wrong exchange rate for cash withdrawal,wrong amount,75,False,False,False,{76: 1},[8548],791,1,5,False
894,topping up by card,supported,54,False,False,False,{76: 1},[8548],894,1,5,False
897,card acceptance,supported,54,False,False,False,{76: 1},[8548],897,1,5,False
1175,topping up by card,why,74,False,False,False,{76: 1},[8548],1175,1,5,False
68,card linking,card linking,13,False,True,False,{76: 1},[8548],68,1,5,False
1551,change pin,pass,44,False,False,False,{76: 1},[8548],1551,1,5,False
1508,cancel transfer,direct,28,False,False,False,{76: 1},[8548],1508,1,5,False
2250,topping up by card,receiving,50,False,False,False,{76: 1},[8548],2250,1,5,False
519,topping up by card,age,1,False,False,False,{76: 1},[8548],519,1,5,False
1731,transfer not received by recipient,declined transfer,27,False,False,False,{76: 1},[8548],1731,1,5,False
1210,failed transfer,unable,68,False,False,False,{76: 1},[8548],1210,1,5,False
1750,transfer not received by recipient,declined transfer,27,False,False,False,{76: 1},[8548],1750,1,5,False
1687,topping up by card,request,52,False,False,False,{76: 1},[8548],1687,1,5,False
891,topping up by card,supported,54,False,False,False,{76: 1},[8548],891,1,5,False
1061,cash withdrawal not recognised,balance not updated after che,6,False,False,False,{76: 1},[8548],1061,1,5,False
2403,get physical card,getting spare,39,False,False,False,{76: 1},[8548],2403,1,5,False
1898,cancel transfer,terminate,55,False,False,False,{76: 1},[8548],1898,1,5,False
2978,apple pay or google pay,apple,2,False,True,False,{76: 1},[8548],2978,1,5,False
1427,card not working,comprom,22,False,False,False,{76: 1},[8548],1427,1,5,False
1526,change pin,pass,44,False,False,False,{76: 1},[8548],1526,1,5,False
824,extra charge on statement,card payment fee,15,False,False,False,{76: 1},[8548],824,1,5,False
