,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
903,supported cards and currencies,supported,54,False,True,False,{53: 1},[2754],903,1,3,False
1003,top up failed,top up revert,61,False,False,False,{53: 1},[2754],1003,1,3,False
2953,verify my identity,card about,9,False,False,False,{53: 1},[2754],2953,1,3,False
2979,unable to verify identity,apple,2,False,False,False,{53: 1},[2754],2979,1,3,False
1926,get physical card,card sw,18,False,False,False,{53: 1},[2754],1926,1,3,False
2137,pin blocked,change,21,False,False,False,{53: 1},[2754],2137,1,3,False
2980,verify top up,apple,2,False,False,False,{53: 1},[2754],2980,1,3,False
702,cancel transfer,cancel,8,False,True,False,{53: 1},[2754],702,1,3,False
2493,card delivery estimate,order,43,False,False,False,{53: 1},[2754],2493,1,3,False
2210,transfer fee charged,transfer fee,64,False,True,False,{53: 1},[2754],2210,1,3,False
112,exchange rate,exchange rate,32,False,True,False,{53: 1},[2754],112,1,3,False
2909,verify my identity,cash withdrawal charge,19,False,False,False,{53: 1},[2754],2909,1,3,False
1987,get physical card,transaction,63,False,False,False,{53: 1},[2754],1987,1,3,False
1283,get physical card,vis,73,False,False,False,{53: 1},[2754],1283,1,3,False
1539,unable to verify identity,pass,44,False,False,False,{53: 1},[2754],1539,1,3,False
2879,activate my card,activ,0,False,True,False,{53: 1},[2754],2879,1,3,False
1158,change pin,edit,30,False,False,False,{53: 1},[2754],1158,1,3,False
1376,card payment not recognised,dispos,29,False,False,False,{53: 1},[2754],1376,1,3,False
1517,verify my identity,direct,28,False,False,False,{53: 1},[2754],1517,1,3,False
1171,verify my identity,why,74,False,False,False,{53: 1},[2754],1171,1,3,False
2242,get physical card,receiving,50,False,False,False,{53: 1},[2754],2242,1,3,False
1476,atm support,at,3,False,True,False,{53: 1},[2754],1476,1,3,False
237,verify my identity,pending c,46,False,False,False,{53: 1},[2754],237,1,3,False
1650,lost or stolen phone,lost or stolen phone,42,False,True,False,{53: 1},[2754],1650,1,3,False
2484,get physical card,order,43,False,False,False,{53: 1},[2754],2484,1,3,False
2105,card not working,revert,53,True,False,False,{53: 1},[2754],2105,1,3,False
2121,change pin,change,21,False,True,False,{53: 1},[2754],2121,1,3,False
1452,atm support,at,3,False,True,False,{53: 1},[2754],1452,1,3,False
274,get physical card,fi,36,False,False,False,{53: 1},[2754],274,1,3,False
564,contactless not working,contact,23,False,True,False,{53: 1},[2754],564,1,3,False
905,card acceptance,supported,54,False,False,False,{53: 1},[2754],905,1,3,False
1535,verify my identity,pass,44,False,False,False,{53: 1},[2754],1535,1,3,False
2113,cancel transfer,revert,53,True,False,False,{53: 1},[2754],2113,1,3,False
2142,change pin,change,21,False,True,False,{53: 1},[2754],2142,1,3,False
2965,top up by card charge,apple,2,False,False,False,{53: 1},[2754],2965,1,3,False
1834,card payment not recognised,declined card,25,False,False,False,{53: 1},[2754],1834,1,3,False
1549,passcode forgotten,pass,44,False,True,False,{53: 1},[2754],1549,1,3,False
1320,top up by card charge,to,62,False,False,False,{53: 1},[2754],1320,1,3,False
2421,order physical card,getting spare,39,False,False,False,{53: 1},[2754],2421,1,3,False
2784,exchange rate,exchange charge,31,False,False,False,{53: 1},[2754],2784,1,3,False
768,verify my identity,wrong amount,75,False,False,False,{53: 1},[2754],768,1,3,False
2472,top up by cash or cheque,top up by c,58,False,True,False,{53: 1},[2754],2472,1,3,False
2154,verify my identity,change,21,False,False,False,{53: 1},[2754],2154,1,3,False
795,atm support,wrong amount,75,False,False,False,{53: 1},[2754],795,1,3,False
