,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
12756,calendar query,calendar query,7,True,True,True,"{7: 1, 64: 1, 65: 1, 67: 1, 54: 1}","[12756, 17739, 3991, 5279, 10652]",12756,5,0,False,5
17739,transport taxi,transport tax,64,True,True,False,"{7: 1, 64: 1, 65: 1, 67: 1, 54: 1}","[12756, 17739, 3991, 5279, 10652]",17739,5,0,False,5
3991,transport ticket,transport ticket,65,True,True,True,"{7: 1, 64: 1, 65: 1, 67: 1, 54: 1}","[12756, 17739, 3991, 5279, 10652]",3991,5,0,False,5
5279,weather query,weather,67,True,True,False,"{7: 1, 64: 1, 65: 1, 67: 1, 54: 1}","[12756, 17739, 3991, 5279, 10652]",5279,5,0,False,5
10652,qa maths,qa math,54,True,True,False,"{7: 1, 64: 1, 65: 1, 67: 1, 54: 1}","[12756, 17739, 3991, 5279, 10652]",10652,5,0,False,5
2355,qa maths,general dont,21,False,False,False,"{7: 1, 64: 1, 65: 1, 67: 1, 54: 1}","[12756, 17739, 3991, 5279, 10652]",2355,5,0,False,5
3852,music query,play music,48,False,False,False,"{7: 1, 64: 1, 65: 1, 67: 1, 54: 1}","[12756, 17739, 3991, 5279, 10652]",3852,5,0,False,5
11238,weather query,weather,67,True,True,False,"{7: 1, 64: 1, 65: 1, 67: 1, 54: 1}","[12756, 17739, 3991, 5279, 10652]",11238,5,0,False,5
5935,qa maths,general explain,22,False,False,False,"{7: 1, 64: 1, 65: 1, 67: 1, 54: 1}","[12756, 17739, 3991, 5279, 10652]",5935,5,0,False,5
16711,play podcasts,play pod,49,False,True,False,"{7: 1, 64: 1, 65: 1, 67: 1, 54: 1}","[12756, 17739, 3991, 5279, 10652]",16711,5,0,False,5
1588,music query,music query,43,False,True,False,"{7: 1, 64: 1, 65: 1, 67: 1, 54: 1}","[12756, 17739, 3991, 5279, 10652]",1588,5,0,False,5
11291,qa maths,general command,19,False,False,False,"{7: 1, 64: 1, 65: 1, 67: 1, 54: 1}","[12756, 17739, 3991, 5279, 10652]",11291,5,0,False,5
4276,qa currency,qa currency,51,False,True,False,"{7: 1, 64: 1, 65: 1, 67: 1, 54: 1}","[12756, 17739, 3991, 5279, 10652]",4276,5,0,False,5
