,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
903,supported cards and currencies,supported,54,True,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",903,5,3,False,5
1003,top up failed,top up revert,61,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",1003,5,3,False,5
2953,card about to expire,card about,9,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",2953,5,3,False,5
2979,top up failed,apple,2,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",2979,5,3,False,5
1926,get physical card,card sw,18,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",1926,5,3,False,5
2137,change pin,change,21,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",2137,5,3,False,5
2980,apple pay or google pay,apple,2,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",2980,5,3,False,5
702,cancel transfer,cancel,8,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",702,5,3,False,5
2493,get physical card,order,43,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",2493,5,3,False,5
2210,transfer fee charged,transfer fee,64,True,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",2210,5,3,False,5
112,exchange rate,exchange rate,32,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",112,5,3,False,5
2909,cash withdrawal charge,cash withdrawal charge,19,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",2909,5,3,False,5
1987,card payment not recognised,transaction,63,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",1987,5,3,False,5
1283,visa or mastercard,vis,73,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",1283,5,3,False,5
1539,passcode forgotten,pass,44,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",1539,5,3,False,5
2879,activate my card,activ,0,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",2879,5,3,False,5
1158,change pin,edit,30,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",1158,5,3,False,5
1376,disposable card limits,dispos,29,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",1376,5,3,False,5
1517,wrong amount of cash received,direct,28,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",1517,5,3,False,5
1171,verify my identity,why,74,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",1171,5,3,False,5
2242,transfer into account,receiving,50,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",2242,5,3,False,5
1476,atm support,at,3,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",1476,5,3,False,5
237,atm support,pending c,46,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",237,5,3,False,5
1650,lost or stolen phone,lost or stolen phone,42,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",1650,5,3,False,5
2484,card payment fee charged,order,43,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",2484,5,3,False,5
2105,card not working,revert,53,True,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",2105,5,3,False,5
2121,change pin,change,21,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",2121,5,3,False,5
1452,atm support,at,3,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",1452,5,3,False,5
274,supported cards and currencies,fi,36,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",274,5,3,False,5
564,contactless not working,contact,23,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",564,5,3,False,5
905,supported cards and currencies,supported,54,True,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",905,5,3,False,5
1535,passcode forgotten,pass,44,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",1535,5,3,False,5
2113,reverted card payment?,revert,53,True,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",2113,5,3,False,5
2142,change pin,change,21,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",2142,5,3,False,5
2965,apple pay or google pay,apple,2,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",2965,5,3,False,5
1834,card payment not recognised,declined card,25,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",1834,5,3,False,5
1549,passcode forgotten,pass,44,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",1549,5,3,False,5
1320,top up by card charge,to,62,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",1320,5,3,False,5
2421,order physical card,getting spare,39,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",2421,5,3,False,5
2784,exchange rate,exchange charge,31,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",2784,5,3,False,5
768,cash withdrawal not recognised,wrong amount,75,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",768,5,3,False,5
2472,top up by cash or cheque,top up by c,58,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",2472,5,3,False,5
2154,change pin,change,21,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",2154,5,3,False,5
795,atm support,wrong amount,75,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",795,5,3,False,5
1278,card payment fee charged,get physical,38,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",1278,5,3,False,5
1494,direct debit payment not recognised,direct,28,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",1494,5,3,False,5
241,supported cards and currencies,fi,36,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",241,5,3,False,5
3060,topping up by card,country,24,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",3060,5,3,False,5
494,age limit,age,1,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",494,5,3,False,5
327,top up by card charge,automatic,4,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",327,5,3,False,5
458,lost or stolen card,lost or stolen card,41,False,True,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",458,5,3,False,5
428,exchange rate,exchange via,33,False,False,False,"{53: 1, 70: 1, 34: 1, 54: 1, 64: 1}","[2754, 1423, 3444, 1353, 2265]",428,5,3,False,5
