,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
13005,person countries of residence,na,na,True,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",13005,10,0,False,10
13881,organization website,organization top,organization top members or employees,False,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",13881,10,0,False,10
8000,na,na,na,True,True,True,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",8000,10,0,False,10
15210,person title,person sib,person siblings,False,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",15210,10,0,False,10
7432,na,na,na,True,True,True,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",7432,10,0,False,10
2785,na,na,na,True,True,True,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",2785,10,0,False,10
11677,na,na,na,True,True,True,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",11677,10,0,False,10
6929,organization member of,na,na,True,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",6929,10,0,False,10
7143,na,na,na,True,True,True,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",7143,10,0,False,10
12405,na,na,na,True,True,True,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",12405,10,0,False,10
1677,person origin,na,na,True,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",1677,10,0,False,10
2872,organization top members or employees,na,na,True,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",2872,10,0,False,10
13474,organization members,organization parents,organization parents,False,False,True,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",13474,10,0,False,10
5391,organization top members or employees,na,na,True,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",5391,10,0,False,10
14781,person title,person title,person title,False,True,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",14781,10,0,False,10
13767,organization top members or employees,organization top,organization top members or employees,False,True,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",13767,10,0,False,10
4670,person other family,na,na,True,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",4670,10,0,False,10
343,person siblings,person age,person age,False,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",343,10,0,False,10
6853,person children,na,na,True,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",6853,10,0,False,10
7373,na,na,na,True,True,True,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",7373,10,0,False,10
6965,organization member of,na,na,True,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",6965,10,0,False,10
8391,na,na,na,True,True,True,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",8391,10,0,False,10
2539,na,na,na,True,True,True,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",2539,10,0,False,10
14078,organization parents,organization alternate,organization alternate names,False,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",14078,10,0,False,10
14670,person title,person title,person title,False,True,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",14670,10,0,False,10
3983,organization top members or employees,na,na,True,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",3983,10,0,False,10
9758,person title,na,na,True,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",9758,10,0,False,10
2760,person date of birth,na,na,True,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",2760,10,0,False,10
2670,na,na,na,True,True,True,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",2670,10,0,False,10
3175,person age,na,na,True,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",3175,10,0,False,10
14456,person countries of residence,person origin,person origin,False,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",14456,10,0,False,10
858,organization alternate names,person cities,person cities of residence,False,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",858,10,0,False,10
6211,person country of birth,na,na,True,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",6211,10,0,False,10
15099,organization members,organization country,organization country of headquarters,False,False,True,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",15099,10,0,False,10
2891,organization top members or employees,na,na,True,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",2891,10,0,False,10
1785,na,na,na,True,True,True,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",1785,10,0,False,10
14958,na,person title,person title,False,False,True,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",14958,10,0,False,10
12198,na,na,na,True,True,True,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",12198,10,0,False,10
15254,organization country of headquarters,organization state,organization state or province of headquarters,False,False,False,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",15254,10,0,False,10
3319,na,na,na,True,True,True,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",3319,10,0,False,10
2900,na,na,na,True,True,True,"{'na': 6, 'person employee of': 2, 'organization members': 1, 'organization member of': 1}","[50258, 14042, 65045, 22119, 29734, 22947, 6585, 42282, 37711, 35918]",2900,10,0,False,10
