,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
903,supported cards and currencies,supported,54,True,True,False,"{44: 1, 51: 1, 55: 1, 62: 1, 11: 1, 74: 1, 12: 2, 66: 1, 48: 1, 54: 1, 26: 1, 60: 1, 15: 1, 67: 1, 45: 2, 61: 1, 46: 1, 71: 1}","[8990, 5890, 5954, 3194, 8063, 9362, 42, 7687, 3138, 2262, 8836, 1181, 652, 8458, 7029, 5371, 5136, 2333, 8587, 2246]",903,20,0,False,20
1003,top up failed,top up revert,61,True,False,False,"{44: 1, 51: 1, 55: 1, 62: 1, 11: 1, 74: 1, 12: 2, 66: 1, 48: 1, 54: 1, 26: 1, 60: 1, 15: 1, 67: 1, 45: 2, 61: 1, 46: 1, 71: 1}","[8990, 5890, 5954, 3194, 8063, 9362, 42, 7687, 3138, 2262, 8836, 1181, 652, 8458, 7029, 5371, 5136, 2333, 8587, 2246]",1003,20,0,False,20
2953,card about to expire,card about,9,False,True,False,"{44: 1, 51: 1, 55: 1, 62: 1, 11: 1, 74: 1, 12: 2, 66: 1, 48: 1, 54: 1, 26: 1, 60: 1, 15: 1, 67: 1, 45: 2, 61: 1, 46: 1, 71: 1}","[8990, 5890, 5954, 3194, 8063, 9362, 42, 7687, 3138, 2262, 8836, 1181, 652, 8458, 7029, 5371, 5136, 2333, 8587, 2246]",2953,20,0,False,20
2979,apple pay or google pay,apple,2,False,True,False,"{44: 1, 51: 1, 55: 1, 62: 1, 11: 1, 74: 1, 12: 2, 66: 1, 48: 1, 54: 1, 26: 1, 60: 1, 15: 1, 67: 1, 45: 2, 61: 1, 46: 1, 71: 1}","[8990, 5890, 5954, 3194, 8063, 9362, 42, 7687, 3138, 2262, 8836, 1181, 652, 8458, 7029, 5371, 5136, 2333, 8587, 2246]",2979,20,0,False,20
1926,card swallowed,card sw,18,False,True,False,"{44: 1, 51: 1, 55: 1, 62: 1, 11: 1, 74: 1, 12: 2, 66: 1, 48: 1, 54: 1, 26: 1, 60: 1, 15: 1, 67: 1, 45: 2, 61: 1, 46: 1, 71: 1}","[8990, 5890, 5954, 3194, 8063, 9362, 42, 7687, 3138, 2262, 8836, 1181, 652, 8458, 7029, 5371, 5136, 2333, 8587, 2246]",1926,20,0,False,20
2137,change pin,change,21,False,True,False,"{44: 1, 51: 1, 55: 1, 62: 1, 11: 1, 74: 1, 12: 2, 66: 1, 48: 1, 54: 1, 26: 1, 60: 1, 15: 1, 67: 1, 45: 2, 61: 1, 46: 1, 71: 1}","[8990, 5890, 5954, 3194, 8063, 9362, 42, 7687, 3138, 2262, 8836, 1181, 652, 8458, 7029, 5371, 5136, 2333, 8587, 2246]",2137,20,0,False,20
2980,apple pay or google pay,apple,2,False,True,False,"{44: 1, 51: 1, 55: 1, 62: 1, 11: 1, 74: 1, 12: 2, 66: 1, 48: 1, 54: 1, 26: 1, 60: 1, 15: 1, 67: 1, 45: 2, 61: 1, 46: 1, 71: 1}","[8990, 5890, 5954, 3194, 8063, 9362, 42, 7687, 3138, 2262, 8836, 1181, 652, 8458, 7029, 5371, 5136, 2333, 8587, 2246]",2980,20,0,False,20
702,cancel transfer,cancel,8,False,True,False,"{44: 1, 51: 1, 55: 1, 62: 1, 11: 1, 74: 1, 12: 2, 66: 1, 48: 1, 54: 1, 26: 1, 60: 1, 15: 1, 67: 1, 45: 2, 61: 1, 46: 1, 71: 1}","[8990, 5890, 5954, 3194, 8063, 9362, 42, 7687, 3138, 2262, 8836, 1181, 652, 8458, 7029, 5371, 5136, 2333, 8587, 2246]",702,20,0,False,20
2493,order physical card,order,43,False,True,False,"{44: 1, 51: 1, 55: 1, 62: 1, 11: 1, 74: 1, 12: 2, 66: 1, 48: 1, 54: 1, 26: 1, 60: 1, 15: 1, 67: 1, 45: 2, 61: 1, 46: 1, 71: 1}","[8990, 5890, 5954, 3194, 8063, 9362, 42, 7687, 3138, 2262, 8836, 1181, 652, 8458, 7029, 5371, 5136, 2333, 8587, 2246]",2493,20,0,False,20
2210,transfer fee charged,transfer fee,64,False,True,False,"{44: 1, 51: 1, 55: 1, 62: 1, 11: 1, 74: 1, 12: 2, 66: 1, 48: 1, 54: 1, 26: 1, 60: 1, 15: 1, 67: 1, 45: 2, 61: 1, 46: 1, 71: 1}","[8990, 5890, 5954, 3194, 8063, 9362, 42, 7687, 3138, 2262, 8836, 1181, 652, 8458, 7029, 5371, 5136, 2333, 8587, 2246]",2210,20,0,False,20
