,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
210,numeric,description,2,False,False,True,{5: 1},[2978],210,1,1,False
73,numeric,numeric,5,True,True,True,{5: 1},[2978],73,1,1,False
120,numeric,description,2,False,False,True,{5: 1},[2978],120,1,1,False
151,numeric,numeric,5,True,True,True,{5: 1},[2978],151,1,1,False
187,numeric,entity,1,False,False,True,{5: 1},[2978],187,1,1,False
17,numeric,numeric,5,True,True,True,{5: 1},[2978],17,1,1,False
127,numeric,entity,1,False,False,True,{5: 1},[2978],127,1,1,False
79,numeric,numeric,5,True,True,True,{5: 1},[2978],79,1,1,False
312,numeric,description,2,False,False,True,{5: 1},[2978],312,1,1,False
15,numeric,description,2,False,False,True,{5: 1},[2978],15,1,1,False
55,numeric,description,2,False,False,True,{5: 1},[2978],55,1,1,False
45,numeric,numeric,5,True,True,True,{5: 1},[2978],45,1,1,False
103,numeric,description,2,False,False,True,{5: 1},[2978],103,1,1,False
75,numeric,numeric,5,True,True,True,{5: 1},[2978],75,1,1,False
167,numeric,entity,1,False,False,True,{5: 1},[2978],167,1,1,False
243,numeric,description,2,False,False,True,{5: 1},[2978],243,1,1,False
311,numeric,entity,1,False,False,True,{5: 1},[2978],311,1,1,False
257,numeric,description,2,False,False,True,{5: 1},[2978],257,1,1,False
114,numeric,numeric,5,True,True,True,{5: 1},[2978],114,1,1,False
142,numeric,numeric,5,True,True,True,{5: 1},[2978],142,1,1,False
336,numeric,description,2,False,False,True,{5: 1},[2978],336,1,1,False
83,numeric,numeric,5,True,True,True,{5: 1},[2978],83,1,1,False
212,numeric,description,2,False,False,True,{5: 1},[2978],212,1,1,False
144,numeric,description,2,False,False,True,{5: 1},[2978],144,1,1,False
246,numeric,description,2,False,False,True,{5: 1},[2978],246,1,1,False
168,numeric,description,2,False,False,True,{5: 1},[2978],168,1,1,False
30,numeric,entity,1,False,False,True,{5: 1},[2978],30,1,1,False
60,numeric,numeric,5,True,True,True,{5: 1},[2978],60,1,1,False
180,numeric,entity,1,False,False,True,{5: 1},[2978],180,1,1,False
69,numeric,entity,1,False,False,True,{5: 1},[2978],69,1,1,False
165,numeric,entity,1,False,False,True,{5: 1},[2978],165,1,1,False
95,numeric,description,2,False,False,True,{5: 1},[2978],95,1,1,False
344,numeric,description,2,False,False,True,{5: 1},[2978],344,1,1,False
145,numeric,numeric,5,True,True,True,{5: 1},[2978],145,1,1,False
38,numeric,numeric,5,True,True,True,{5: 1},[2978],38,1,1,False
